time,open,high,low,close,mama,fama,kama,signal
1767034800,87458.0,87666.1,87315.0,87361.5,89356.74742439819,88824.29218637849,88579.01097317445,0
1767038400,87361.5,87595.0,87071.3,87214.9,88959.78217204871,88836.84789313418,88540.43568041177,0
1767042000,87214.9,87370.5,87178.0,87337.1,88929.18894266548,88837.71836886827,88540.08479085693,0
1767045600,87337.1,87400.0,87069.6,87344.3,88873.15272229198,88838.34478728278,88539.07176181213,0
1767049200,87344.3,87399.4,87172.5,87231.2,88760.14531364743,88835.65374759785,88536.40674591872,0
1767052800,87231.2,87355.6,87107.2,87250.8,87734.58630866653,88461.58108944699,88277.65280532186,0
1767056400,87250.8,87349.9,87113.5,87304.0,87706.81605538909,88437.24216396459,88275.79371653365,0
1767060000,87304.0,87334.8,86970.1,87103.3,87667.92908065925,88412.45719083695,88273.5571463505,0
1767063600,87103.3,87417.6,86825.6,87364.5,87651.84778251342,88392.30159691497,88272.17770799428,0
1767067200,87364.5,87498.3,87291.6,87299.6,87465.15380281405,88146.6039374221,88124.5871321757,0
1767070800,87299.6,87358.0,87142.7,87249.8,87454.50770465401,88129.49691554935,88123.04512651381,0
1767074400,87249.8,87523.7,87228.1,87450.8,87454.46264050709,88125.39466812287,88122.95752275518,0
1767078000,87450.8,87616.4,87366.1,87487.3,87455.43394630503,88115.48618669284,88122.41769323031,0
1767081600,87487.3,88226.7,87487.2,87862.4,87462.68769114152,88109.66846102092,88122.34915488341,0
1767085200,87862.4,88033.8,87649.7,87982.7,87573.08727445718,88052.70986753907,88117.32023964761,0
1767088800,87982.7,88186.8,87904.7,87945.0,87639.84623303756,88015.65500979684,88112.71985767096,0
1767092400,87945.0,88025.9,87758.4,87903.3,87642.0468681156,88014.09463130709,88112.70644086752,0
1767096000,87903.3,88098.5,87903.3,88018.0,87647.53299381041,88011.42009152054,88112.68910929996,0
1767099600,88018.0,88138.8,87912.5,88104.0,87652.56115510389,88009.44360626592,88112.68815686046,0
1767103200,88104.0,89011.5,87836.7,88879.7,87712.23291676851,88002.21741279091,88113.72709745889,0
1767106800,88879.7,89162.9,88195.0,89016.2,87785.03631564908,87996.15455957635,88115.18887253922,0
1767110400,89016.2,89405.5,88574.2,88741.6,88257.39319920781,88060.65516298634,88201.82001069102,0
1767114000,88741.6,88904.8,88139.5,88381.5,88296.32194222421,88097.61611689012,88214.38823083189,0
1767117600,88381.5,88493.9,88134.7,88305.6,88298.94648889161,88126.09195578088,88219.76830531211,0
1767121200,88305.6,88428.9,87962.1,88229.3,88296.87853825759,88128.62746207227,88219.77439873881,0
1767124800,88229.3,88229.4,87872.4,87932.6,88290.0526956977,88130.13985316068,88219.69157692412,0
1767128400,87932.6,88330.6,87882.6,88279.6,88289.79337187707,88132.12029732786,88219.7198698796,0
1767132000,88279.6,88467.6,88279.6,88437.0,88294.84157017301,88134.91042051309,88219.89528149122,0
1767135600,88437.0,88579.4,88364.9,88499.0,88357.61230613841,88169.14648236327,88238.79104356392,0
1767139200,88499.0,88499.1,88250.1,88263.7,88355.26687043786,88171.47063678317,88238.80294225097,0
1767142800,88263.7,88789.6,88175.6,88656.6,88365.35193126167,88174.71506040539,88239.12740385109,0
1767146400,88656.6,88749.2,88523.6,88673.1,88374.71171788037,88177.75638905789,88239.41602262843,0
1767150000,88673.1,88832.8,88373.7,88457.1,88393.74281448852,88202.70203923208,88248.5030623529,0
1767153600,88457.1,88559.7,88333.6,88334.7,88393.03607243304,88203.84118772132,88248.51397861462,0
1767157200,88334.7,88530.5,88334.7,88461.0,88393.8586841332,88204.9911405079,88248.54145375255,0
1767160800,88461.0,88570.6,88461.0,88519.3,88411.99451166444,88219.95501987945,88253.4122726816,0
1767164400,88519.3,88647.9,88432.8,88617.4,88415.635389844,88221.68926854765,88253.50726044098,0
1767168000,88617.4,88735.1,88382.8,88431.6,88415.79644557257,88222.66837397253,88253.52360320078,0
1767171600,88431.6,88718.1,88431.6,88661.6,88448.09298686782,88237.4778329657,88259.67330072701,0
1767175200,88661.6,88900.0,88661.5,88845.8,88448.46213145467,88237.57574890522,88259.67380101213,0
1767178800,88845.8,89057.6,88806.6,89014.9,88448.4821148797,88237.57946919987,88259.67380195177,0
1767182400,89014.9,89046.7,88746.0,88781.6,88452.13913414768,88238.75720366549,88259.73601576309,0
1767186000,88781.6,89055.1,88743.9,88990.7,88461.5330320884,88240.70009770825,88259.92130790226,0
1767189600,88990.7,89217.3,88276.3,88491.1,88462.93350512355,88245.96326665285,88260.4156929954,0
1767193200,88491.1,88492.5,87786.2,87950.1,88459.66523042302,88246.64422520438,88260.40388000046,0
1767196800,87950.1,88052.9,87385.8,87649.6,88454.4369769061,88247.3147842804,88260.38005225366,0
1767200400,87649.6,87742.8,87483.8,87616.3,88440.78130014105,88248.89084898,88260.23579813431,0
1767204000,87616.3,87981.3,87565.0,87683.3,88426.4392583917,88250.57168697548,88260.06627844983,0
1767207600,87683.3,87869.1,87509.2,87534.0,88214.73722192465,88246.3214093484,88228.32630419605,0
1767211200,87534.0,87709.1,87243.2,87662.2,88206.34642339432,88246.01788042756,88228.21482165644,0
1767214800,87662.2,87877.6,87662.2,87795.5,88196.78816399399,88245.44522070233,88228.03193311309,0
1767218400,87795.5,87889.4,87653.3,87728.5,88184.99795663462,88244.68427281547,88227.78998864711,0
1767222000,87728.5,87728.6,87623.8,87643.3,88172.82359051728,88243.8767579956,88227.5573846796,0
1767225600,87643.3,87845.8,87623.0,87804.5,88167.48763861576,88243.32342842712,88227.48099193444,0
1767229200,87804.5,88045.6,87804.5,87950.9,88164.48534631277,88242.77700996892,88227.434958644,0
1767232800,87950.9,88095.5,87888.0,87915.9,88123.46461722969,88232.9327423735,88220.29383193706,0
1767236400,87915.9,88015.9,87837.1,87852.9,88117.75298807403,88231.71701792006,88220.16284686088,0
1767240000,87852.9,87860.2,87551.7,87591.0,88105.77796206324,88230.28548976188,88219.90740355644,0
1767243600,87591.0,87747.4,87590.9,87700.4,87996.84609258176,88198.92094565097,88191.79761218301,0
1767247200,87700.4,87700.5,87633.6,87653.0,87984.92412236982,88195.2110536271,88191.35499908976,0
1767250800,87653.0,87677.1,87596.0,87629.9,87969.99763310133,88190.47666307056,88190.7359443083,0
1767254400,87629.9,87805.5,87620.4,87768.8,87963.62932999473,88186.88657964442,88190.43643916503,0
1767258000,87768.8,87960.0,87747.0,87881.5,87934.2751207951,88141.74308699832,88163.81635942539,0
1767261600,87881.5,87885.0,87779.5,87857.6,87932.42659588649,88139.21992991953,88163.67870201309,0
1767265200,87857.6,88017.6,87847.1,88013.1,87932.65326721194,88138.92973056732,88163.67754641484,0
1767268800,88013.1,88037.7,87918.9,87941.6,87932.78303305605,88137.43472670102,88163.63735767912,0
1767272400,87941.6,88022.8,87862.1,87916.2,87930.30297939152,88121.94606888968,88158.89982212009,0
1767276000,87916.2,87972.3,87804.8,87961.5,87930.74051776282,88120.60523948043,88158.86624820954,0
1767279600,87961.5,88116.6,87916.4,88028.0,87933.26820001373,88118.17088295959,88158.79933654533,0
1767283200,88028.0,88051.1,87875.8,87995.7,87934.42178222301,88116.47327297855,88158.75346550145,0
1767286800,87995.7,88511.1,87974.7,88325.6,87944.78219057893,88114.19964213218,88158.8415572005,0
1767290400,88325.6,88372.7,88100.0,88199.9,87950.61961099254,88112.32818240304,88158.85841620143,0
1767294000,88199.9,88436.2,88082.4,88391.5,88102.87046812139,88110.69514865764,88177.84846702187,0
1767297600,88391.5,88391.5,88250.8,88263.8,88137.52188342862,88113.58332063278,88181.0215731757,0
1767301200,88263.8,88450.0,88261.9,88389.9,88189.96129708577,88121.51827227582,88188.26306334435,0
1767304800,88389.9,88700.0,88389.9,88650.0,88204.40650055082,88122.81961639611,88188.58658882047,0
1767308400,88650.0,88926.7,88477.0,88848.2,88230.31599349497,88124.98271421113,88189.26824104942,0
1767312000,88848.2,88897.0,88592.5,88839.0,88307.03080134353,88136.45482771691,88194.60318324932,0
1767315600,88839.0,88885.3,88502.1,88647.7,88342.09664867088,88147.03841544091,88197.63170921845,0
1767319200,88647.7,88674.3,88377.4,88641.9,88473.23989374071,88218.38371598735,88249.52159123843,0
1767322800,88641.9,89125.0,88571.5,88945.9,88717.97576871602,88347.7241199437,88352.0644998955,0
1767326400,88945.9,88988.1,88631.7,88643.3,88715.56184198914,88353.66937717817,88352.27839825743,0
1767330000,88643.3,88789.6,88575.5,88763.6,88717.12380369732,88359.57824130204,88352.58335716781,0
1767333600,88763.6,89087.2,88726.1,88943.9,88725.70941628727,88366.5089961096,88353.14040342583,0
1767337200,88943.9,89068.8,88824.9,88866.6,88768.79282899151,88428.01686959402,88387.59405617714,0
1767340800,88866.6,89198.7,88798.4,89177.5,88785.4607449344,88435.30551644327,88388.42665834735,0
1767344400,89177.5,89498.5,89105.9,89478.4,88818.20453514201,88444.35217172172,88389.84625874016,1
1767348000,89478.4,89948.7,89457.0,89659.5,88859.70955284579,88454.59792733142,88391.59996230017,0
1767351600,89659.5,89683.1,89361.5,89505.1,89129.79092788942,88595.87446374021,88513.5340703977,0
1767355200,89505.1,89593.1,89390.5,89407.9,89142.72788605523,88608.59360985372,88514.78373332403,0
1767358800,89407.9,89698.9,89303.4,89348.9,89206.20410960118,88700.58970221938,88571.3804643579,0
1767362400,89348.9,90146.2,88450.0,89582.7,89221.37453087409,88711.08188214047,88572.4274655506,0
1767366000,89582.7,89889.4,88791.6,89405.6,89226.84150913883,88718.73458804483,88572.95960404916,0
1767369600,89405.6,90807.4,89194.0,90375.6,89283.79399718936,88732.7416833147,88575.4659619042,0
1767373200,90375.6,90966.2,90182.0,90377.2,89336.34232127792,88747.24599455053,88577.86774500796,0
1767376800,90377.2,90559.9,89550.0,89769.9,89444.66645049749,88834.37103845822,88634.84945823654,0
1767380400,89769.9,90158.0,89644.6,89897.8,89552.46540189319,88919.78715856944,88690.3332003708,0
1767384000,89897.8,90083.1,89623.0,89735.2,89562.91834159986,88938.18162669244,88693.11396103419,0
1767387600,89735.2,90171.1,89719.0,90062.9,89577.9673450234,88947.81011736178,88694.00951422052,0
1767391200,90062.9,90408.3,90022.0,90193.8,89597.76702384952,88958.25852237511,88695.10145382983,0
1767394800,90193.8,90193.8,89892.4,89991.8,89606.48930558575,88965.4331141777,88695.60397067579,0
1767398400,89991.8,90196.9,89957.7,90159.7,89789.24576434784,89101.50883012885,88806.96203689168,0
1767402000,90159.7,90292.8,90066.9,90281.8,89805.53051697342,89113.14695866726,88808.08521787578,0
1767405600,90281.8,90405.9,90137.5,90329.0,89821.79142394464,89124.15352361441,88809.13234054294,0
1767409200,90329.0,90380.8,90175.2,90327.6,89990.39428262977,89268.52698345031,88926.29805500722,0
1767412800,90327.6,90487.2,90050.3,90162.2,89994.3866623323,89276.9606592709,88926.81935951461,0
1767416400,90162.2,90200.0,89925.5,90034.4,89999.8603892645,89326.4061186101,88944.80774357471,0
