time,timestamp,close,pine_mama,py_mama,mama_abs_diff,mama_rel_diff,pine_fama,py_fama,fama_abs_diff,fama_rel_diff,pine_kama,py_kama,kama_abs_diff,kama_rel_diff,pine_signal,py_signal,signal_match
1767034800,2025-12-29 19:00:00+00:00,87361.5,89356.74742439819,87361.5,1995.247424398185,0.0223290068395372,88824.29218637849,87361.5,1462.7921863784868,0.016468379880912928,88579.01097317445,87361.5,1217.510973174445,0.013744914961210846,0,0,1
1767038400,2025-12-29 20:00:00+00:00,87214.9,88959.78217204871,87361.5,1598.2821720487118,0.017966345386925806,88836.84789313418,87361.5,1475.3478931341815,0.01660738677838889,88540.43568041177,87361.5,1178.9356804117706,0.013315223393152923,0,0,1
1767042000,2025-12-29 21:00:00+00:00,87337.1,88929.18894266548,87361.5,1567.6889426654816,0.017628508269385022,88837.71836886827,87361.5,1476.2183688682708,0.016617022543721556,88540.08479085693,87361.5,1178.5847908569267,0.013311313103447953,0,0,1
1767045600,2025-12-29 22:00:00+00:00,87344.3,88873.15272229198,87361.5,1511.652722291983,0.017009104279394113,88838.34478728278,87361.5,1476.844787282782,0.016623956590129902,88539.07176181213,87361.5,1177.571761812127,0.0133000238016955,0,0,1
1767049200,2025-12-29 23:00:00+00:00,87231.2,88760.14531364743,87361.5,1398.6453136474302,0.015757582513019834,88835.65374759785,87361.5,1474.1537475978548,0.016594167830252686,88536.40674591872,87361.5,1174.9067459187208,0.013270323351731018,0,0,1
1767052800,2025-12-30 00:00:00+00:00,87250.8,87734.58630866653,87361.5,373.086308666534,0.004252442786405207,88461.58108944699,87361.5,1100.0810894469905,0.012435693279488812,88277.65280532186,87361.5,916.1528053218644,0.01037808297126171,0,0,1
1767056400,2025-12-30 01:00:00+00:00,87304.0,87706.81605538909,87361.5,345.31605538909207,0.0039371632778348285,88437.24216396459,87361.5,1075.7421639645909,0.012163904455208376,88275.79371653365,87361.5,914.293716533648,0.010357241527270515,0,0,1
1767060000,2025-12-30 02:00:00+00:00,87103.3,87667.92908065925,87361.5,306.4290806592471,0.0034953384193359438,88412.45719083695,87361.5,1050.9571908369544,0.011886980910037136,88273.5571463505,87361.5,912.0571463505039,0.010332167138550744,0,0,1
1767063600,2025-12-30 03:00:00+00:00,87364.5,87651.84778251342,87361.5,290.34778251341777,0.003312511827860659,88392.30159691497,87361.5,1030.801596914971,0.011661667116844795,88272.17770799428,87361.5,910.677707994284,0.01031670149802829,0,0,1
1767067200,2025-12-30 04:00:00+00:00,87299.6,87465.15380281405,87361.5,103.65380281404941,0.0011850868409576216,88146.6039374221,87361.5,785.1039374221,0.008906797339344675,88124.5871321757,87361.5,763.0871321757004,0.00865918533077683,0,0,1
1767070800,2025-12-30 05:00:00+00:00,87249.8,87454.50770465401,87361.5,93.00770465401001,0.0010634981214245687,88129.49691554935,87361.5,767.9969155493454,0.008714413929825146,88123.04512651381,87361.5,761.5451265138108,0.008641838527260366,0,0,1
