asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
OP,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,5.0,2.25,4.0,8.0,11,30,11,15,3.734568086811514,8.912983473843038,258,3.0483539154278922,2.62262616285851,81,1.072026698813463,1.1038776717744003,87,-1.9069036508828074,1.267386771782184,0.2870550687238197,0.058,
INJ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.5,5.0,9.5,7,25,8,23,2.9257073963846754,14.651590501564083,270,1.9973999643005345,3.816272116346231,132,0.045419364562762694,0.040611060659911935,120,-4.021564877768413,1.0038788151519487,0.015524233427747367,0.114,
SUI,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.5,4.0,9.0,9.5,7,35,10,27,1.8364291892506093,11.694702557508219,276,0.43607044935160283,0.825403841080008,103,1.3863687023675941,2.627400137944691,72,-2.1359252934123663,1.3824281629760422,0.7549263050721432,0.024,
APT,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.25,2.25,7.5,10.0,20,33,16,17,0.4647906733202029,2.5632852880918433,336,2.408793393080467,4.389361091422139,115,3.7692560414614644,6.8707645797661865,90,-1.5437085908810544,2.165344661351743,8.109577618104987,0.0,
RENDER,FAIL,binance,1H,2024-07-26,2026-01-21,13061,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,3.75,6.5,8.0,9,23,8,25,2.7364667075213185,13.466765879398078,237,-0.5298401532425289,-0.9752796425318566,105,-0.8976809749110258,-1.6394566735025373,99,-6.257812834197052,0.8509082521480863,-0.32804381374116626,0.508,
FET,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,2.75,7.5,9.0,8,20,8,27,2.8728987926522573,12.370740696022686,246,1.1410469685809295,1.6847659634732448,102,-0.6053306341838401,-0.9798328801838396,87,-2.49832771127545,0.8738137948805891,-0.2107037796569922,0.35,
TAO,FAIL,binance,1H,2024-04-11,2026-01-21,15601,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,4.5,6.5,7.0,9,37,14,20,3.7068248096218532,27.475721579469848,267,-1.3977257041984987,-3.1167966889201093,96,-1.4588666972600253,-3.244959658828994,96,-6.8461911846527945,0.7536070890751952,-0.3935623538164593,0.704,
PEPE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,1.5,3.5,6.0,10,34,15,30,2.8329569941424224,10.820183172199037,381,1.5103480645390217,1.8833209645563231,117,0.09579077799028878,0.10525793047957421,111,-2.134390084618587,1.0166155817408282,0.03381300111097735,0.182,
WIF,FAIL,binance,1H,2024-03-05,2026-01-21,16487,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,3.75,8.0,10.0,14,23,13,23,4.630652467840654,25.50674142364904,222,-0.7301028686394717,-1.4035668784417088,99,0.5370868489030834,0.9940534903981391,92,-3.2300073538415908,1.1057351480804265,0.1159851344131501,0.132,
BONK,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.0,6.0,9.5,17,22,11,21,4.278338030628532,19.220414411377384,274,3.2705425546935953,5.101811813693513,96,0.2256036721475411,0.32776180067550786,108,-3.2770152022434607,1.0409580384142212,0.052731614597175146,0.104,
AAVE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,4.0,5.0,6.5,18,35,10,19,4.7331648610855925,15.968023758304838,216,-0.6476862304356746,-0.9273724813774642,93,-2.033188063240354,-2.9593771497593346,84,-3.401129206311815,0.639475207943808,-0.42956206320986345,0.584,
MKR,FAIL,binance,1H,2024-01-22,2025-09-15,14438,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.5,4.75,7.5,8.0,9,37,9,26,2.7907343573435024,10.48743485472421,192,-0.86235630748622,-1.196502845312808,70,0.7388718817294105,0.7503020844088937,42,-1.0182580461889912,1.2095222403119705,0.264758944105573,0.522,
CRV,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,5.0,5.5,10.0,12,37,9,29,0.8434486815244501,6.55681816713769,354,-3.9092292431287046,-9.083427448186121,117,-0.15659860224723476,-0.4965637557398095,111,-4.243844071437675,0.9638469444998254,-0.18566464762764023,0.252,
SNX,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,3.0,4.5,10.0,5,37,13,17,3.2314296593639273,23.116379073357972,384,0.0729317746468382,0.10293131602225891,135,-2.1332086696829355,-5.279167008729635,147,-7.001712963420781,0.7057196030537699,-0.660143928400668,0.91,
SAND,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,1.75,3.0,5.0,8.0,11,33,14,21,2.357638285811206,15.796999829012126,345,-1.7728078291981266,-4.131281190937752,135,1.2250792717654257,2.9167053035752177,120,-3.3838885645154138,1.2250240958399239,0.5196213851540444,0.074,
