asset,best_displacement,best_oos_sharpe,best_wfe,best_trades,default_oos_sharpe,improvement
AXS,52,2.215967622716612,0.6042061468452882,135,2.215967622716612,0.0
CAKE,65,3.8563183124907345,1.3415339438921137,78,2.366964262620362,1.4893540498703723
DOGS,39,4.12340810434644,1.105646003241088,36,2.2027164181181265,1.9206916862283139
JOE,26,5.1463323996848755,1.8427730511841331,63,-0.30460618988166005,5.450938589566536
KSM,65,2.5454384620371457,1.233596448013527,105,0.7537547773950641,1.7916836846420816
LOOM,65,6.243461262437394,2.1230480336828097,10,4.859177446352622,1.3842838160847721
MINA,65,3.1477659169884364,2.314434341927515,63,1.0228019742639902,2.124963942724446
OSMO,65,3.400431489772762,0.8404037284465334,57,1.5736230318198117,1.8268084579529504
RUNE,65,1.6173525149084051,1.0025069117675403,99,1.5567891900495872,0.06056332485881799
TON,78,1.3124943775001452,0.4786868224470588,60,1.311304192346269,0.0011901851538762553
