fees_bps,slippage_bps,total_return_pct,sharpe,max_drawdown_pct,profit_factor,trades,scenario,break_even_fees_bps,edge_buffer_bps
5.0,2.0,3.497483119379474,3.5018559268079787,-1.056642376698358,2.7019248517801673,151,Base,30.0,25.0
10.0,5.0,2.723178112955993,2.723520884178468,-1.3012060649671087,2.2857965999208836,151,Stress1,30.0,25.0
