asset,guard001_pass,guard002_pass,guard003_pass,guard005_pass,guard006_pass,guard007_pass,all_pass,error
CAKE,False,False,False,False,False,False,False,single positional indexer is out-of-bounds
RUNE,False,False,False,False,False,False,False,"float() argument must be a string or a real number, not 'complex'"
KSM,False,False,False,False,False,False,False,single positional indexer is out-of-bounds
OSMO,False,False,False,False,False,False,False,single positional indexer is out-of-bounds
MINA,False,False,False,False,False,False,False,single positional indexer is out-of-bounds
