tenkan,kijun,tenkan_5,kijun_5,sharpe,return,max_dd,trades,mean_sharpe,std_sharpe,variance_pct
8,27,10,26,1.6185782325884972,11.522211040922127,-2.8384352464395857,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,10,27,1.6185782325884972,11.522211040922127,-2.8384352464395857,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,10,28,1.6193179787918905,11.526745095265678,-2.8384352464395857,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,10,29,1.6201450361407526,11.531449725832577,-2.838313845226792,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,10,30,1.6198709288660746,11.529843194767109,-2.8383552999858064,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,11,26,1.633717937896518,11.63595393709247,-2.8353793312292597,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,11,27,1.633717937896518,11.63595393709247,-2.8353793312292597,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,11,28,1.6347456154777962,11.642246108231479,-2.8353793312292597,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,11,29,1.635573685049812,11.646950738798378,-2.8352581912760244,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,11,30,1.6352992879013482,11.645344207732933,-2.8352995568242445,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,12,26,1.7662700865586038,12.515939107604023,-2.821983381319626,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,12,27,1.7662700865586038,12.515939107604023,-2.821983381319626,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,12,28,1.7662700865586038,12.515939107604023,-2.821983381319626,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,12,29,1.7671186065449933,12.520643738170921,-2.8218633833066664,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,12,30,1.7668379648645374,12.519037207105477,-2.821904358923044,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,13,26,1.6500000353238042,11.742657933057021,-2.8417140645577987,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,13,27,1.6500000353238042,11.742657933057021,-2.8417140645577987,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,13,28,1.6500000353238042,11.742657933057021,-2.8417140645577987,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,13,29,1.6508299980914125,11.747362563623899,-2.8415923827158074,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,13,30,1.6505544548058266,11.745756032558452,-2.841633933299692,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,14,26,1.6494374308335615,11.738468244303245,-2.84182243657799,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,14,27,1.6494374308335615,11.738468244303245,-2.84182243657799,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,14,28,1.6494374308335615,11.738468244303245,-2.84182243657799,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,14,29,1.6502673548470392,11.743172874870144,-2.841700745455067,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,27,14,30,1.649991822854566,11.741566343804678,-2.841742299208039,390,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,10,26,1.6185782325884972,11.522211040922127,-2.8384352464395857,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,10,27,1.6185782325884972,11.522211040922127,-2.8384352464395857,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,10,28,1.6193059663499543,11.526670750343392,-2.8384352464395857,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,10,29,1.6201450361407526,11.531449725832577,-2.838313845226792,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,10,30,1.6198709288660746,11.529843194767109,-2.8383552999858064,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,11,26,1.633717937896518,11.63595393709247,-2.8353793312292597,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,11,27,1.633717937896518,11.63595393709247,-2.8353793312292597,393,1.909320702636984,0.19137936858016621,10.023427091941654
8,28,11,28,1.6347335942292192,11.64217176330924,-2.8353793312292597,393,1.909320702636984,0.19137936858016621,10.023427091941654
