asset,guard001_pass,guard002_pass,guard003_pass,guard005_pass,guard006_pass,guard007_pass,all_pass,error
ETH,False,False,False,False,False,False,False,No data found for ETH in data
AVAX,False,False,False,False,False,False,False,No data found for AVAX in data
UNI,False,False,False,False,False,False,False,No data found for UNI in data
SEI,False,False,False,False,False,False,False,No data found for SEI in data
