asset,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,wfe
YGG,4.25,2.75,6.0,6.5,10,20,8,17,52,0.8489732752167541
MINA,4.25,3.0,8.0,8.5,9,26,14,25,52,1.0314945379360918
CAKE,2.25,3.75,9.0,10.0,19,40,8,22,52,0.7051566912711196
RUNE,1.5,4.75,8.0,10.0,5,38,14,15,52,0.4672872694990141
