entry_time,exit_time,direction,entry_price,exit_price,size,notional,quantity,gross_pnl,costs,net_pnl,exit_reason,tp_multiple,pnl
2025-08-28 04:00:00+00:00,2025-08-29 07:00:00+00:00,1,112963.2,110945.97678867649,0.5,5000.0,0.044262202203903575,-89.28674167000881,7.0,-96.28674167000881,stop,2.0,-96.28674167000881
2025-08-28 04:00:00+00:00,2025-08-29 07:00:00+00:00,1,112963.2,110945.97678867649,0.3,3000.0,0.026557321322342144,-53.57204500200528,4.2,-57.772045002005285,stop,6.0,-57.772045002005285
2025-08-28 04:00:00+00:00,2025-08-29 07:00:00+00:00,1,112963.2,110945.97678867649,0.2,2000.0,0.01770488088156143,-35.714696668003526,2.8,-38.51469666800352,stop,10.0,-38.51469666800352
2025-09-02 02:00:00+00:00,2025-09-02 14:00:00+00:00,1,110239.5,111601.33153611452,0.5,5000.0,0.04535579352228557,61.766949964147216,7.0,54.766949964147216,tp1,2.0,54.766949964147216
2025-09-02 02:00:00+00:00,2025-09-02 18:00:00+00:00,1,110239.5,110239.5,0.3,3000.0,0.02721347611337134,0.0,4.2,-4.2,stop,6.0,-4.2
2025-09-02 02:00:00+00:00,2025-09-02 18:00:00+00:00,1,110239.5,110239.5,0.2,2000.0,0.018142317408914227,0.0,2.8,-2.8,stop,10.0,-2.8
2025-09-04 15:00:00+00:00,2025-09-04 22:00:00+00:00,-1,109500.2,111113.22618367216,0.5,5000.0,0.045662017055676615,-73.65402911009122,7.0,-80.65402911009122,stop,2.0,-80.65402911009122
2025-09-04 15:00:00+00:00,2025-09-04 22:00:00+00:00,-1,109500.2,111113.22618367216,0.3,3000.0,0.027397210233405966,-44.19241746605473,4.2,-48.39241746605473,stop,6.0,-48.39241746605473
2025-09-04 15:00:00+00:00,2025-09-04 22:00:00+00:00,-1,109500.2,111113.22618367216,0.2,2000.0,0.018264806822270645,-29.461611644036488,2.8,-32.261611644036485,stop,10.0,-32.261611644036485
2025-09-05 07:00:00+00:00,2025-09-05 14:00:00+00:00,1,112946.7,111277.05694823134,0.5,5000.0,0.04426866831877337,-73.91287446949106,7.0,-80.91287446949106,stop,2.0,-80.91287446949106
