regime,trades,net_pnl,return_pct,pct_of_total_pnl,avg_pnl_per_trade,pnl_mismatch_pct
CRASH,12,-27.980617361413838,-0.27980617361413834,-1.8831787753650882,-2.3317181134511533,0.0
HIGH_VOL,9,9.561521292524613,0.09561521292524613,0.6435188232520787,1.062391254724957,0.0
BEAR,24,100.99323587060935,1.0099323587060935,6.797145173403049,4.208051494608723,0.0
BULL,60,256.42298254520585,2.564229825452059,17.25802944258354,4.273716375753431,0.0
SIDEWAYS,60,405.9857797775858,4.059857797775858,27.324050563356213,6.766429662959763,0.0
RECOVERY,63,137.17564364920304,1.3717564364920305,9.23232883965827,2.1773911690349688,0.0
OTHER,171,603.6598867322109,6.036598867322109,40.628105933111954,3.53017477621176,0.0
