regime,sharpe,return_pct,win_rate,profit_factor,trade_count,bar_count
BULL,2.1084616729866723,3.7858636859509964,0.37037037037037035,1.059112148606093,108,4326
BEAR,-0.6421195732353686,-1.1753016575584918,0.5612244897959183,2.7309483039236304,98,4308
HIGH_VOL,4.302615617697586,7.769977851715404,0.3838383838383838,1.3812298787411665,99,4318
SIDEWAYS,0.0,0.0,0.0,0.0,0,1
OTHER,2.949315049077906,4.6622211216421405,0.43243243243243246,1.4958599950024893,111,4368
