asset,base_sharpe,guard001_p_value,guard001_pass,guard002_variance_pct,guard002_pass,guard003_sharpe_ci_lower,guard003_pass,guard005_top10_pct,guard005_pass,guard006_stress1_sharpe,guard006_pass,guard007_mismatch_pct,guard007_pass,guard008_pbo,guard008_pass,guard_wfe,guard_wfe_pass,overfit_psr,overfit_dsr,overfit_sr_star,all_pass,error
EGLD,2.4484861514286487,0.0,True,4.901021435187196,True,2.60424099026136,True,11.313284854893023,True,1.8926116137699251,True,0.0,True,,True,,False,0.9979860524881015,,,False,
AVAX,3.0716353012499433,0.0,True,6.074582610943576,True,3.5880869308429593,True,17.464131965158625,True,2.6335764802520556,True,1.5727554067919436e-14,True,,True,,False,0.9999514415789457,,,False,
YGG,2.7891088870102814,0.0,True,4.20737230710237,True,3.3495449740739014,True,12.809134689031085,True,2.4999306965026697,True,0.0,True,,True,,False,0.9998501205433326,,,False,
RUNE,2.7399693487640744,0.0,True,3.357628929623815,True,2.721586009398074,True,19.26252983148334,True,2.2704764875639043,True,0.0,True,,True,,False,0.9999912470368193,,,False,
CAKE,2.350285433823321,0.0,True,11.682521291028527,True,2.4668927184846257,True,22.295945129827913,True,1.9414222843913493,True,0.0,True,,True,,False,0.9998218361521801,,,False,
MINA,2.1657166792294995,0.0,True,6.913124563846515,True,2.0892082058796992,True,20.919717727509944,True,1.8707928527975537,True,0.0,True,,True,,False,0.9981048927158321,,,False,
TON,0.5529171173249824,0.01,True,24.41592621619109,False,-1.036258957676174,False,124.77204494110914,False,0.16395998012332175,False,2.995207006398894e-14,True,,True,,False,0.7401229428768842,,,False,
HBAR,1.4001304633667477,0.007,True,10.758099640238655,True,0.3983590361903167,False,38.717652931522274,True,0.7024484095171509,False,0.0,True,,True,,False,0.9764824994616406,,,False,
ONE,2.4068890720788025,0.0,True,6.297742149523897,True,2.3663619835478933,True,21.666463348137448,True,1.955994576520355,True,0.0,True,,True,,False,0.9998926240852817,,,False,
CRV,0.3347033367572971,0.179,False,87.28439229585645,False,-1.4206649847967507,False,151.33355293846515,False,-0.07991455162077213,False,1.6396460574770702e-14,True,,True,,False,0.6811721154459057,,,False,
SUSHI,2.6788486064176262,0.0,True,12.304792803623112,True,2.917602740025756,True,13.699091541793514,True,2.4026843087066205,True,1.530292467191069e-14,True,,True,,False,0.9996716232682976,,,False,
BTC,2.1272284566663915,0.002,True,10.023427091941654,True,1.8002753741406674,True,17.542847482464925,True,1.548726297075038,True,0.0,True,,True,,False,0.9977190578063491,,,False,
SEI,2.229716186168254,0.0,True,3.68161263797402,True,2.079407123451276,True,18.396660383947715,True,1.8491882882796324,True,1.989250762074061e-14,True,,True,,False,0.9972083674280161,,,False,
AXS,3.227724995843747,0.0,True,4.283092981452391,True,3.7893847515733956,True,12.031884581759783,True,2.516285867557029,True,0.0,True,,True,,False,0.9999884243449386,,,False,
SOL,2.4126694989835618,0.001,True,4.05973328053444,True,2.6492648754493944,True,15.63130478224693,True,1.8806754840703546,True,1.9031078651909228e-14,True,,True,,False,0.9982357952977787,,,False,
ZIL,0.8610091881957025,0.019,True,16.089123058826786,False,-0.4522187772891672,False,54.62779701577707,False,0.4625322082831458,False,4.149912232692013e-14,True,,True,,False,0.8880493712517665,,,False,
AAVE,2.5803021546486278,0.0,True,9.348018809245856,True,2.712388463221125,True,14.266979029569082,True,2.316314760414337,True,1.551917155875151e-14,True,,True,,False,0.9995467773827917,,,False,
GALA,1.3803282986027907,0.008,True,17.56438066311101,False,0.5523228594161782,False,28.070943229748224,True,1.147037645423332,True,2.4390180431807787e-14,True,,True,,False,0.9693325762120466,,,False,
