tenkan,kijun,tenkan_5,kijun_5,sharpe,return,max_dd,trades,mean_sharpe,std_sharpe,variance_pct
5,36,7,14,0.6869847813369793,7.808262551848566,-4.823863480141721,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,7,15,0.6869847813369793,7.808262551848566,-4.823863480141721,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,7,16,0.6869847813369793,7.808262551848566,-4.823863480141721,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,7,17,0.6869450836117019,7.807804185149703,-4.823863480141721,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,7,18,0.6872539997866038,7.811215324265031,-4.823863480141721,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,8,14,0.8644979508518358,9.929981800625253,-4.82386781426003,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,8,15,0.8644979508518358,9.929981800625253,-4.82386781426003,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,8,16,0.8644448954081823,9.929366681762296,-4.82386781426003,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,8,17,0.8638594143934331,9.922641063166182,-4.82386781426003,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,8,18,0.8642273438670445,9.926667321144489,-4.82386781426003,606,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,9,14,1.159751997502383,13.428485526605115,-4.454985529548184,603,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,9,15,1.159751997502383,13.428485526605115,-4.454985529548184,603,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,9,16,1.159423057346882,13.424318892429522,-4.455122175041703,603,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,9,17,1.159423057346882,13.424318892429522,-4.455122175041703,603,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,9,18,1.1592095228802726,13.421619531811713,-4.460799306976238,603,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,10,14,1.2265546332802924,14.144809247946766,-3.9933303370879303,594,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,10,15,1.2265546332802924,14.144809247946766,-3.9933303370879303,594,1.0277414283731239,0.23817258107515707,23.174368036537686
5,36,10,16,1.2262251902381183,14.140642613771192,-3.993452622519311,594,1.0277414283731239,0.23817258107515707,23.174368036537686
