file,reason,count
outputs/cluster_paramloss.csv,non_increasing,2
outputs/displacement_grid_batch3_20260121_210728.csv,non_increasing,42
outputs/multi_asset_scan_20260120_1603.csv,non_increasing,11
outputs/multi_asset_scan_20260121_0702.csv,non_increasing,5
outputs/multi_asset_scan_20260121_0712.csv,non_increasing,1
outputs/multi_asset_scan_20260121_0938.csv,non_increasing,1
outputs/multi_asset_scan_20260121_1029.csv,non_increasing,1
outputs/multi_asset_scan_20260121_1038.csv,non_increasing,1
outputs/multi_asset_scan_20260121_1555.csv,non_increasing,15
outputs/multi_asset_scan_20260121_1751.csv,non_increasing,14
outputs/multi_asset_scan_20260121_2111.csv,non_increasing,2
outputs/multi_asset_scan_20260121_2130.csv,non_increasing,1
outputs/multiasset_scan_20260120_1339.csv,non_increasing,10
outputs/multiasset_scan_20260120_1347.csv,non_increasing,9
outputs/multiasset_scan_20260120_1531.csv,non_increasing,11
outputs/multiasset_scan_20260120_1603.csv,non_increasing,11
outputs/multiasset_scan_20260121_0702.csv,non_increasing,5
outputs/multiasset_scan_20260121_0712.csv,non_increasing,1
outputs/multiasset_scan_20260121_0938.csv,non_increasing,1
outputs/multiasset_scan_20260121_1029.csv,non_increasing,1
outputs/multiasset_scan_20260121_1038.csv,non_increasing,1
outputs/multiasset_scan_20260121_1555.csv,non_increasing,15
outputs/multiasset_scan_20260121_1751.csv,non_increasing,14
outputs/multiasset_scan_20260121_2111.csv,non_increasing,2
outputs/multiasset_scan_20260121_2130.csv,non_increasing,1
outputs/optim_AAVE_atr.csv,gap_too_small,4
outputs/optim_AAVE_atr.csv,non_increasing,85
outputs/optim_ETH_atr.csv,gap_too_small,3
outputs/optim_ETH_atr.csv,non_increasing,88
outputs/optim_SOL_atr.csv,gap_too_small,1
outputs/optim_SOL_atr.csv,non_increasing,64
outputs/optim_XRP_atr.csv,gap_too_small,6
outputs/optim_XRP_atr.csv,non_increasing,81
outputs/pine_plan.csv,non_increasing,5
outputs/pine_plan_fullguards.csv,non_increasing,4
