mode,status,oos_sharpe,wfe,oos_trades,sens_var,guard002_pass,all_pass,base_sharpe,scan_file,guards_file,error
baseline,FAIL,1.56,0.53,78,23.52,False,False,1.15,outputs\multiasset_scan_20260122_1529.csv,outputs\multiasset_guards_summary_20260122_151459.csv,
light_kama,SUCCESS,2.77,1.02,66,11.88,False,False,1.04,outputs\multiasset_scan_20260122_1548.csv,outputs\multiasset_guards_summary_20260122_153331.csv,
light_distance,SUCCESS,3.15,1.06,78,19.12,False,False,1.56,outputs\multiasset_scan_20260122_160725.csv,outputs\multiasset_guards_summary_20260122_155140.csv,
light_volume,FAIL,1.3,0.4,72,16.04,False,False,1.16,outputs\multiasset_scan_20260122_162935.csv,outputs\multiasset_guards_summary_20260122_161135.csv,
light_regression,SUCCESS,3.59,1.05,69,7.41,True,False,1.78,outputs\multiasset_scan_20260122_165027.csv,outputs\multiasset_guards_summary_20260122_163353.csv,
medium_kama_distance,SUCCESS,1.7,0.63,78,26.01,False,False,0.53,outputs\multiasset_scan_20260122_171033.csv,outputs\multiasset_guards_summary_20260122_165431.csv,
medium_kama_volume,SUCCESS,1.7,0.63,78,14.74,False,False,1.45,outputs\multiasset_scan_20260122_171412.csv,outputs\multiasset_guards_summary_20260122_171415.csv,
medium_kama_regression,SUCCESS,2.09,0.82,57,12.85,False,False,0.84,outputs\multiasset_scan_20260122_174954.csv,outputs\multiasset_guards_summary_20260122_173418.csv,
medium_distance_volume,SUCCESS,2.09,0.82,57,3.95,True,True,1.68,outputs\multiasset_scan_20260122_175308.csv,outputs\multiasset_guards_summary_20260122_175311.csv,
moderate,FAIL,0.69,0.22,66,41.05,False,False,0.29,outputs\multiasset_scan_20260122_181335.csv,outputs\multiasset_guards_summary_20260122_181338.csv,
