trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,sl_mult,tp1_mult,tp2_mult,tp3_mult
0,-0.0811937497328648,443,-1.0337648319626136,-0.0811937497328648,-5.964878660824457,0.9791599667204309,True,2.75,5.0,9.5,7.0
1,-0.7433147714471823,672,-7.039008841071004,-0.7433147714471823,-13.735832770109113,0.8818920724066923,True,2.0,2.0,3.5,9.0
2,1.001046080011343,555,8.156725860399817,1.001046080011343,-5.143381157642446,1.1950327618963534,True,3.75,4.0,3.0,10.0
3,1.1558646351071464,492,6.1983245124901165,1.1558646351071464,-3.466066523583866,1.2759431435298692,True,4.5,2.25,4.5,3.5
4,0.16764264880615018,603,1.4245362223092473,0.16764264880615018,-4.620648213159695,1.0252200844610593,True,2.5,3.25,7.0,4.0
5,-0.18703252937612788,558,-1.3306200082553565,-0.18703252937612788,-8.243386447977352,0.9592424253492605,True,3.75,2.0,5.5,5.0
6,-0.0034001407409424375,567,-0.29200653326412196,-0.0034001407409424375,-8.316066888116868,0.9948458590739311,True,3.0,4.25,4.5,6.0
7,-0.06390012410112134,546,-0.49401638595867325,-0.06390012410112134,-5.9491463769330455,0.9827608360742099,True,3.5,1.5,8.5,3.0
8,0.9011800319419792,513,12.540052894112751,0.9011800319419792,-4.70155256668312,1.185361059805864,True,1.5,5.0,12.0,8.5
9,0.31071503352855334,605,2.3537624886220465,0.31071503352855334,-4.583921875918062,1.0575794396093408,True,2.5,1.75,9.5,5.5
10,0.5058038945554211,405,2.568274284567962,0.5058038945554211,-2.927020689269866,1.1218712077827877,True,5.0,2.75,6.5,2.0
11,1.851013625793744,465,12.745456089953366,1.851013625793744,-3.9187160884387118,1.4594909467690063,True,4.5,4.0,3.0,10.0
12,0.870672737891353,456,4.9450419218701525,0.870672737891353,-4.255323005914347,1.1988001215285382,True,4.75,2.75,4.5,7.5
13,0.8586345144423213,498,6.238487414236582,0.8586345144423213,-4.477232146597087,1.1837194686024881,True,4.25,3.75,3.0,4.0
14,1.2368648429771665,453,6.804413416948507,1.2368648429771665,-3.320103933275209,1.2999179681991908,True,4.5,2.75,5.0,2.0
15,0.3883770923255132,429,2.508784610366499,0.3883770923255132,-5.125955924194914,1.0806899782037058,True,4.25,3.5,6.0,7.0
16,-0.2457334429409127,510,-1.7616476578175555,-0.2457334429409127,-5.70966261964988,0.9499830859632851,True,4.0,3.0,5.0,2.0
17,0.22519622708686932,320,1.2367181111733183,0.22519622708686932,-3.013032307714214,1.0521937396680523,True,5.0,4.25,8.0,9.5
18,0.4880405638686403,534,4.452049324430329,0.4880405638686403,-6.125589619581396,1.0894739694063367,True,3.25,4.5,4.0,8.5
19,0.5901312296258615,492,3.5641805105552926,0.5901312296258615,-4.119807274890819,1.128782508501168,True,4.25,2.5,5.5,5.0
20,1.084417795722075,456,6.932685749059342,1.084417795722075,-4.340596643180749,1.255034396399181,True,4.75,3.5,3.0,7.5
21,1.2041123295461034,492,6.487213401378988,1.2041123295461034,-3.4424374571721317,1.2893489276783907,True,4.5,2.25,4.5,3.0
