tenkan,kijun,tenkan_5,kijun_5,sharpe,return,max_dd,trades,mean_sharpe,std_sharpe,variance_pct
15,29,11,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,11,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,11,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,11,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,11,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,12,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,12,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,12,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,12,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,12,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,13,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,13,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,13,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,13,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,13,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,14,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,14,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,14,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,14,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,14,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,15,18,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,15,19,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,15,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,15,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,29,15,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,11,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,11,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,11,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,11,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,11,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,12,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,12,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,12,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,12,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,12,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,13,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,13,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,13,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,13,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,13,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,14,18,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,14,19,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,14,20,1.392074743968173,16.327383353890703,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,14,21,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
15,30,14,22,1.3920367023923137,16.326994847489807,-4.16747144157269,705,1.572571869379802,0.14181215916590306,9.017849163347401
