metric,mean,std,ci_lower_95,ci_upper_95
sharpe,2.1271025068085097,1.039570605596421,0.12428192570556815,4.208199405671434
total_return,5.120982799778609,2.4296102502478325,0.3166719245841259,9.849483455784956
profit_factor,1.337289429880056,0.18504709964017638,1.0164347355145376,1.742093846621868
