trial_count,is_sharpe_mean,is_sharpe_std,oos_sharpe_mean,oos_sharpe_std,wfe_mean,wfe_std,oos_trades_mean
50,3.236,,1.45,,0.448,,78.0
100,3.589,,0.649,,0.181,,72.0
