entry_time,exit_time,direction,entry_price,exit_price,size,notional,quantity,gross_pnl,costs,net_pnl,exit_reason,tp_multiple,pnl,trade_id,regime
2024-02-05 12:00:00+00:00,2024-02-05 16:00:00+00:00,1,43255.36,42522.34470183681,0.5,1475.2543401341836,0.034105700198407404,-25.000000000000004,2.065356076187857,-27.06535607618786,stop,2.0,-27.06535607618786,1,OTHER
2024-02-05 12:00:00+00:00,2024-02-05 16:00:00+00:00,1,43255.36,42522.34470183681,0.3,885.1526040805102,0.02046342011904444,-15.0,1.2392136457127143,-16.239213645712713,stop,6.0,-16.239213645712713,2,OTHER
2024-02-05 12:00:00+00:00,2024-02-05 16:00:00+00:00,1,43255.36,42522.34470183681,0.2,590.1017360536734,0.01364228007936296,-10.0,0.8261424304751428,-10.826142430475143,stop,10.0,-10.826142430475143,3,OTHER
2024-02-07 17:00:00+00:00,2024-02-07 21:00:00+00:00,1,43499.91,44362.219977694396,0.5,1261.1448065435875,0.02899189461641616,25.000000000000004,1.7656027291610226,23.234397270838983,tp1,2.0,23.234397270838983,4,SIDEWAYS
2024-02-07 17:00:00+00:00,2024-02-08 14:00:00+00:00,1,43499.91,45109.5552916962,0.2,504.45792261743503,0.011596757846566464,18.666666666666597,0.7062410916644091,17.960425575002187,tp3,10.0,17.960425575002187,5,SIDEWAYS
2024-02-07 17:00:00+00:00,2024-02-08 20:00:00+00:00,1,43499.91,45569.453946466536,0.3,756.6868839261525,0.017395136769849696,35.99999999999983,1.0593616374966135,34.940638362503215,tp2,6.0,34.940638362503215,6,SIDEWAYS
2024-02-13 16:00:00+00:00,2024-02-14 08:00:00+00:00,-1,48477.07,50053.49119133292,0.5,768.7835945514491,0.015858705869629685,-25.0,1.076297032372029,-26.07629703237203,stop,2.0,-26.07629703237203,7,SIDEWAYS
2024-02-13 16:00:00+00:00,2024-02-14 08:00:00+00:00,-1,48477.07,50053.49119133292,0.3,461.2701567308695,0.009515223521777812,-15.0,0.6457782194232172,-15.645778219423217,stop,6.0,-15.645778219423217,8,SIDEWAYS
2024-02-13 16:00:00+00:00,2024-02-14 08:00:00+00:00,-1,48477.07,50053.49119133292,0.2,307.51343782057967,0.006343482347851874,-10.0,0.43051881294881156,-10.430518812948812,stop,10.0,-10.430518812948812,9,SIDEWAYS
2024-02-14 08:00:00+00:00,2024-02-15 00:00:00+00:00,1,50758.0,52209.900073072844,0.5,873.9926552344315,0.017218815856307017,25.0,1.223589717328204,23.776410282671797,tp1,2.0,23.776410282671797,10,BULL
