regime,trades,net_pnl,return_pct,pct_of_total_pnl,avg_pnl_per_trade,pnl_mismatch_pct
CRASH,6,14.593070006486215,0.14593070006486214,1.1256098630787352,2.432178334414369,0.0
HIGH_VOL,6,81.60051477747432,0.8160051477747432,6.294107012780878,13.60008579624572,0.0
BEAR,18,159.98311569245445,1.5998311569245445,12.340006103544571,8.887950871803024,0.0
BULL,69,165.54267417081664,1.6554267417081665,12.768832516001034,2.3991691908814006,0.0
SIDEWAYS,63,786.2225823440092,7.862225823440092,60.64384621387418,12.479723529269988,0.0
RECOVERY,36,-145.5919013043539,-1.455919013043539,-11.229966005763458,-4.044219480676498,0.0
OTHER,186,234.1089115943411,2.3410891159434106,18.057564296484067,1.258650062335167,0.0
