asset,cluster,individual_sharpe,cluster_avg_sharpe,param_distance
HBAR,cluster_0,2.510368357750194,2.6134236271723212,6.209871174187111
YGG,cluster_0,3.277832357283033,2.6134236271723212,12.103718436910205
CELO,cluster_0,2.509672125098515,2.6134236271723212,6.368869601428498
AR,cluster_0,2.79980821075675,2.6134236271723212,6.229967897188556
ANKR,cluster_0,3.661293279696033,2.6134236271723212,9.594920531197744
STRK,cluster_0,1.7772129831313352,2.6134236271723212,12.913171570144957
METIS,cluster_0,2.651696265935433,2.6134236271723212,10.700467279516348
AEVO,cluster_0,1.719505437727277,2.6134236271723212,6.485560885536423
EGLD,cluster_1,1.7080587473782982,1.6234768808124682,6.4468984791138135
IMX,cluster_1,1.2669624172328302,1.6234768808124682,3.0618621784789726
W,cluster_1,1.895409477826276,1.6234768808124682,5.031152949374527
