asset,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement
DOT,2.5,5.0,5.5,10.0,12,21,8,27,52
SHIB,1.5,4.75,6.0,8.0,19,25,14,16,52
NEAR,5.0,3.25,9.0,9.5,8,32,9,28,52
