asset,weight
TIA,0.14985566185421512
CAKE,0.10045296766097278
RUNE,0.055976954768969696
EGLD,0.18730403426161887
SHIB,0.05
DOT,0.05
NEAR,0.16461167159225895
DOGE,0.05
ANKR,0.07637247480739828
ETH,0.06542623505456631
JOE,0.05000000000000001
