fees_bps,slippage_bps,total_return_pct,sharpe,max_drawdown_pct,profit_factor,trades,scenario,break_even_fees_bps,edge_buffer_bps
5,2,10.236478365044599,2.074642313492817,-4.272113214530515,1.5856940894479334,435,Base,39.0,34.0
10,5,8.535310782238458,1.7253434368794536,-4.568502235080285,1.473572219961376,435,Stress1,39.0,34.0
15,10,6.408851303730745,1.2906627626003075,-4.94393099244469,1.342620059942783,435,Stress2,39.0,34.0
20,15,4.282391825223053,0.8600784010495843,-5.324966209297289,1.2208832044219151,435,Stress3,39.0,34.0
