trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
0,2.474047586709636,435,17.294536356999735,2.474047586709636,-2.7478492549454336,1.7144919750701615,True,10,39,14,24
1,2.416927008179795,438,16.768695068459994,2.416927008179795,-2.929037956535274,1.6782803721378003,True,8,23,8,28
2,2.7254506853277096,432,18.7414956327413,2.7254506853277096,-2.152553147197944,1.8081932253982944,True,12,34,8,30
3,2.479249040842765,435,17.288172957911808,2.479249040842765,-2.7478492549454336,1.7141897864767008,True,14,24,9,17
4,2.5292336233669204,444,17.680586600015147,2.5292336233669204,-2.6247561291622756,1.715034270064862,True,9,31,11,19
5,2.5802841626866373,432,17.80982740751984,2.5802841626866373,-2.171263015074565,1.751528514322483,True,12,22,10,20
6,2.5562606165126747,438,17.717314402035345,2.5562606165126747,-2.1632037858426045,1.731675919265676,True,11,36,9,23
7,2.6324122632886127,435,18.23247454457324,2.6324122632886127,-2.170523568684213,1.7693631270744448,True,12,20,13,17
8,2.781361091337923,444,19.568579287984367,2.781361091337923,-2.633519258108663,1.825990122559206,True,7,39,16,27
9,2.5033840959026135,444,17.680845481666463,2.5033840959026135,-2.7478492549454336,1.7152764165004766,True,9,22,14,22
10,2.781361091337923,444,19.568579287984367,2.781361091337923,-2.633519258108663,1.825990122559206,True,7,29,16,26
11,2.8308338683555214,447,19.989860024598993,2.8308338683555214,-2.633519258108663,1.843772390865306,True,7,28,16,26
12,2.8308338683555214,447,19.989860024598993,2.8308338683555214,-2.633519258108663,1.843772390865306,True,7,27,16,26
13,2.7404470662285823,450,19.470305827721912,2.7404470662285823,-2.747849201853414,1.8042783454087001,True,7,27,15,26
14,2.561709029127127,432,17.806656939677957,2.561709029127127,-2.747849201853414,1.751475421467972,True,15,27,12,29
15,2.6404002248116263,444,18.619179624886463,2.6404002248116263,-2.747849201853414,1.7690984881483538,True,9,31,15,25
16,2.693891032484735,447,19.050927241767113,2.693891032484735,-2.645720281450159,1.7872015980047622,True,8,26,16,22
17,2.6899116937808434,447,19.03745833663708,2.6899116937808434,-2.7478492549454336,1.7863983045390626,True,8,33,14,28
18,2.719511405183408,432,18.745422243314458,2.719511405183408,-2.161303992112007,1.8083853003230717,True,10,29,12,25
19,2.6052518761829653,450,18.53960811152664,2.6052518761829653,-2.747849201853414,1.7500498581809238,True,7,25,15,20
20,2.771334696914203,435,19.168069380367882,2.771334696914203,-2.1605679733940675,1.8266117093301806,True,10,28,13,30
21,2.781361091337923,444,19.568579287984367,2.781361091337923,-2.633519258108663,1.825990122559206,True,7,39,16,27
22,2.73090971970816,441,19.142496947289555,2.73090971970816,-2.633519258108663,1.8080051784489843,True,8,36,16,27
23,2.7044182851140417,456,19.385389652336716,2.7044182851140417,-2.747849201853414,1.7842562255684764,True,7,33,15,24
24,2.730867411392119,441,19.13941314049399,2.730867411392119,-2.633519258108663,1.8078750109025554,True,8,30,16,28
25,2.390844833012214,447,17.146688996137005,2.390844833012214,-3.821974231372083,1.678488891145913,True,9,40,15,26
26,2.761223761713674,450,19.474493040241757,2.761223761713674,-2.6232324179374045,1.8043551425421347,True,7,25,13,24
27,2.5893953640098863,441,18.194410946861762,2.5893953640098863,-2.7478492549454336,1.7515737483277154,True,8,37,14,27
28,2.561779299518053,432,17.80700659543879,2.561779299518053,-2.747849201853414,1.7515012668843188,True,13,32,16,15
29,2.474047586709636,435,17.294536356999735,2.474047586709636,-2.7478492549454336,1.7144919750701615,True,11,28,14,23
30,2.6404002248116263,444,18.619179624886463,2.6404002248116263,-2.747849201853414,1.7690984881483538,True,9,38,15,25
