asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
OSMO,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,2.5,6.5,8.5,7,20,15,30,52,3.6123129791665236,11.873712464728548,243,-1.6734411572814412,-2.1658147823894414,81,0.6848028362103911,0.6700518839976022,57,-1.9018308772588366,1.1868195239910695,0.1895746133183612,0.018,
MINA,SUCCESS,binance,1H,2024-01-26,2026-01-25,17520,42,,4.25,3.0,7.5,9.0,9,26,14,25,52,2.2865217727275673,8.203567167365566,231,2.663808979512459,3.1881936249726017,87,2.581298209989059,2.5963717710828726,60,-1.5172704844233609,2.018868287277215,1.128919147316868,0.028,
AR,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,WFE<0.6; TRADES<50; OVERFIT,4.5,2.0,8.0,9.0,5,23,15,15,52,4.206601964941854,13.223529200144291,273,3.177105011334224,3.016141436956987,83,1.6376285502339487,1.2636425917189387,41,-1.4227108852927328,1.8264004600754742,0.3892996209011625,0.092,
OP,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,2.25,3.0,7.0,10,30,8,15,52,4.308167477249551,10.426422261625001,258,2.5867043269914043,2.183935260540948,81,0.03230883813028913,0.020052624689115284,90,-2.5368395609819405,1.0043642925653968,0.007499438752301235,0.148,
METIS,FAIL,binance,1H,2024-03-11,2026-01-25,16442,42,WFE<0.6; OVERFIT,1.5,4.75,9.0,10.0,15,20,11,22,52,3.3462254552055772,34.009720182179095,333,0.7962324850674692,2.046847419898623,96,1.5928369565042466,3.9686151199172626,84,-2.631237559202537,1.3961160862224375,0.4760100530663107,0.014,
YGG,SUCCESS,binance,1H,2024-01-26,2026-01-25,17520,42,,4.25,2.75,7.5,9.5,10,20,8,17,52,3.9769730205779736,13.374971818192162,237,-0.6033628564661712,-0.8348021941111949,94,3.1089048522437905,3.8713541045679145,78,-0.8691909839374845,2.083404930966007,0.7817264125648942,0.01,
