mode,status,oos_sharpe,wfe,oos_trades,sens_var,guard002_pass,all_pass,base_sharpe,scan_file,guards_file,error
baseline,SUCCESS,2.03,1.43,84,23.52,False,False,1.15,outputs\multiasset_scan_20260122_1514.csv,outputs\multiasset_guards_summary_20260122_151148.csv,
light_kama,FAIL,1.56,0.53,78,11.88,False,False,1.04,outputs\multiasset_scan_20260122_1533.csv,outputs\multiasset_guards_summary_20260122_152954.csv,
light_distance,SUCCESS,2.77,1.02,66,19.12,False,False,1.56,outputs\multiasset_scan_20260122_1551.csv,outputs\multiasset_guards_summary_20260122_154840.csv,
light_volume,SUCCESS,3.15,1.06,78,16.04,False,False,1.16,outputs\multiasset_scan_20260122_161131.csv,outputs\multiasset_guards_summary_20260122_160728.csv,
light_regression,FAIL,1.3,0.4,72,7.41,True,False,1.78,outputs\multiasset_scan_20260122_163350.csv,outputs\multiasset_guards_summary_20260122_162939.csv,
medium_kama_distance,SUCCESS,3.59,1.05,69,26.01,False,False,0.53,outputs\multiasset_scan_20260122_165428.csv,outputs\multiasset_guards_summary_20260122_165031.csv,
medium_kama_volume,SUCCESS,1.7,0.63,78,14.74,False,False,1.45,outputs\multiasset_scan_20260122_171412.csv,outputs\multiasset_guards_summary_20260122_171036.csv,
medium_kama_regression,SUCCESS,1.9,0.69,81,12.85,False,False,0.84,outputs\multiasset_scan_20260122_173416.csv,outputs\multiasset_guards_summary_20260122_173055.csv,
medium_distance_volume,SUCCESS,2.09,0.82,57,3.95,True,True,1.68,outputs\multiasset_scan_20260122_175308.csv,outputs\multiasset_guards_summary_20260122_174957.csv,
moderate,FAIL,0.69,0.22,66,41.05,False,False,0.29,outputs\multiasset_scan_20260122_181335.csv,outputs\multiasset_guards_summary_20260122_181014.csv,
