asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
CELO,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.0,2.25,9.0,10.0,9,31,10,21,2.318316975129085,12.503167754097477,327,0.23765374317772442,0.38039562855733955,121,2.915328065101695,4.152640624247628,97,-1.3184191557969238,1.867508948426267,1.2575191815344269,0.002,
MANTA,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.75,1.75,4.0,6.0,12,28,9,15,1.9842269813392441,6.098181682768944,291,-0.09959736310553241,-0.1516604047485659,120,0.9153142583468807,1.0746467146411032,105,-1.93621607701997,1.207456929283934,0.4612951375800232,0.136,
ZK,FAIL,binance,1H,2024-06-17,2026-01-21,13996,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,3.75,8.5,9.5,6,35,13,29,2.396489970069412,14.60546241948295,237,-2.6866680423090665,-5.260804629734716,99,-0.7932511631033051,-1.4895707796959479,85,-4.693602784089745,0.8424166214161284,-0.3310054175108146,0.688,
WLD,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,2.75,5.5,6.5,9,22,14,22,3.1046482302143397,19.36134654315367,288,2.757423001682738,5.477605927534457,102,0.8756947829294726,1.6564616542492194,93,-3.5433690450186406,1.1934647538385226,0.282059260178734,0.164,
ARKM,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.75,4.0,7.5,9.0,19,31,8,26,1.8887939500423538,13.943404860087183,318,1.8907341534461262,4.921626356969733,105,2.17731727052421,5.587245384640727,99,-3.467383829507409,1.5298575211836232,1.1527553180035262,0.006,
CYBER,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.5,1.75,7.5,9.5,11,38,8,28,2.527793455993422,17.015648274869566,345,2.5231548483057433,5.322570885057232,131,-1.8388275956887556,-4.034352861852875,108,-4.31883032959095,0.6629815602936495,-0.7274437677369874,0.64,
ACH,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,2.5,5.5,9.0,5,36,9,25,2.2710799697417987,7.699044321200632,285,-2.071537449824133,-2.819651153784708,99,-2.0640279264172783,-2.6072265134767236,87,-3.3218169795167007,0.6108912306246359,-0.9088310204470429,0.816,
HOOK,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,TRADES<50,3.25,5.0,6.0,7.5,7,30,10,28,3.5556653037910846,17.45743070432535,222,2.8413205252908047,5.5027093971303565,102,5.388785476113998,7.801845759610404,42,-0.5147782611038876,8.479115667729028,1.5155491351698438,0.0,
EDU,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,3.25,5.5,8.0,7,23,8,28,3.6110386375340315,13.028197680326858,231,-2.062454626539691,-3.3775850098022087,114,-0.26776429719231426,-0.42164052777839967,99,-2.5812069794878933,0.9450600880633946,-0.07415160126205954,0.772,
ID,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,2.5,6.5,8.0,7,23,8,28,3.801594624678684,11.372529183194647,231,1.0231508669521745,1.2462689594350485,114,-0.6275754939048199,-0.9205409774395101,114,-2.7376018384650314,0.8733855215771603,-0.1650821710002453,0.234,
