asset,best_displacement,best_oos_sharpe,default_oos_sharpe,improvement
SOL,52,1.287986920784217,1.287986920784217,0.0
DOGE,26,3.183985889214436,1.0050126608196153,2.178973228394821
LINK,39,2.7326394795961,1.3704461586559502,1.3621933209401498
