trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,sl_mult,tp1_mult,tp2_mult,tp3_mult
0,0.7978790893530658,468,7.701991642802852,0.7978790893530658,-7.830463787483821,1.1574817808598867,True,2.75,5.0,9.5,7.0
1,-0.665023645343241,681,-6.512739304032822,-0.665023645343241,-10.163540890971623,0.8915397873719138,True,2.0,2.0,3.5,9.0
2,1.7459610978323186,513,13.824415459312611,1.7459610978323186,-3.4527915754668292,1.3900174242115315,True,3.75,4.0,3.0,10.0
3,-0.8187843628518312,498,-5.023669384979335,-0.8187843628518312,-8.7514732005072,0.8377274022387428,True,4.5,2.25,4.5,3.5
4,0.11865233816762849,549,0.8959387481600523,0.11865233816762849,-7.275112108176063,1.0169678640533142,True,2.5,3.25,7.0,4.0
5,-0.7086088699300375,552,-4.977614780662442,-0.7086088699300375,-7.1987583791966685,0.85936637752504,True,3.75,2.0,5.5,5.0
6,0.7024163302376405,534,6.529443349312425,0.7024163302376405,-6.011274260948552,1.1301652417711925,True,3.0,4.25,4.5,6.0
7,-0.5639790185587225,578,-3.7241242439480793,-0.5639790185587225,-6.29176186481879,0.882014738205826,True,3.5,1.5,8.5,3.0
8,0.5827042853019379,519,7.949423223214391,0.5827042853019379,-9.566920593660067,1.1148779999612115,True,1.5,5.0,12.0,8.5
9,-0.5860165700072398,609,-5.221858341885232,-0.5860165700072398,-9.22023535873201,0.8904587338800447,True,2.5,1.75,9.5,5.5
10,0.8221262031187883,435,4.911650607521989,0.8221262031187883,-3.477115627133609,1.1887353400884302,True,5.0,3.5,3.0,10.0
11,0.8221262031187883,435,4.911650607521989,0.8221262031187883,-3.477115627133609,1.1887353400884302,True,5.0,3.5,3.0,10.0
12,0.4432471115653548,418,2.7485884736702326,0.4432471115653548,-6.745991489855041,1.090437021017645,True,4.25,3.5,6.0,10.0
13,-0.026162360280944524,435,-0.23334939247801056,-0.026162360280944524,-4.821479889929403,0.9910400767138069,True,5.0,2.75,3.0,7.5
14,1.5604100888865873,450,11.765830926711708,1.5604100888865873,-3.410812356040527,1.352697750408659,True,4.0,4.25,4.5,8.0
