asset,cluster,cluster_size,param_source,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,sharpe_indiv,sharpe_cluster,sharpe_loss_pct,return_indiv,return_cluster,return_loss_pct,max_dd_indiv,max_dd_cluster,max_dd_loss_pct,asset_loss_exceeds,status,error,flag_cluster_fail,cluster_fail_reason,cluster_status
BTC,cluster_0,4,median,4.25,4.5,5.0,9.5,6,28,8,28,2.011341735004386,1.0192166894822983,49.32652807107015,2.2489442022787465,1.3911219858005142,38.14333035070601,-1.6560918313371251,-1.5749509960932606,-4.89953719404265,True,OK,,True,LOSS_PCT,CLUSTERFAIL
UNI,cluster_0,4,median,4.25,4.5,5.0,9.5,6,28,8,28,3.827126867230134,1.291511917719105,66.25374693539149,5.710048122770339,1.8979696097707999,66.76088241354499,-1.2436631063017178,-1.6483853768656354,32.5427576417733,True,OK,,True,LOSS_PCT,CLUSTERFAIL
SUI,cluster_0,4,median,4.25,4.5,5.0,9.5,6,28,8,28,2.5628523512818497,0.6469528101548306,74.75653211815938,6.333071463173368,0.8748253338102918,86.18639724978036,-2.222620576981793,-1.9946549316194218,-10.256615444096049,True,OK,,True,LOSS_PCT,CLUSTERFAIL
SEI,cluster_0,4,median,4.25,4.5,5.0,9.5,6,28,8,28,3.879216907447298,0.7989311662858295,79.40483387891906,5.560831856009285,1.0947227995463438,80.31368637116158,-2.031478887864957,-2.7886375157866072,37.27130183062884,True,OK,,True,LOSS_PCT,CLUSTERFAIL
ETH,cluster_1,2,median,3.5,3.0,7.0,6.0,18,27,12,18,3.965759181388176,1.9325108625579452,51.27009043747612,5.702741625310437,2.9512742542872727,48.24815065812111,-0.9837491819847166,-1.3897450026133296,41.270257507052285,True,OK,,True,CLUSTER_SIZE<3;LOSS_PCT,CLUSTERFAIL
AVAX,cluster_1,2,median,3.5,3.0,7.0,6.0,18,27,12,18,4.216363569865473,2.599306291098214,38.35194123970796,6.05746374548628,3.9871835219687846,34.17734402554477,-1.9951292620871584,-3.023407587327076,51.53943379910172,True,OK,,True,CLUSTER_SIZE<3;LOSS_PCT,CLUSTERFAIL
