trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,sl_mult,tp1_mult,tp2_mult,tp3_mult
0,0.4727448010535662,429,4.292921380318759,0.4727448010535662,-10.514412376062133,1.0931325373071334,True,2.75,5.0,9.5,7.0
1,-1.0948405028877606,705,-11.65478967567638,-1.0948405028877606,-13.851188038655128,0.8272708279601864,True,2.0,2.0,3.5,9.0
2,0.49613816753116247,573,4.106095342609217,0.49613816753116247,-10.20164188583339,1.0904829429151326,True,3.75,4.0,3.0,10.0
3,0.5994174616667456,468,3.3247889260082486,0.5994174616667456,-3.4807400380760467,1.1405223088717409,True,4.5,2.25,4.5,3.5
4,-1.1539004084747864,564,-11.602407841748741,-1.1539004084747864,-16.28591447982659,0.8034641980836243,True,2.5,3.25,7.0,4.0
5,-0.7980013713590118,606,-6.096848033802926,-0.7980013713590118,-9.047012291438028,0.8490002424165835,True,3.75,2.0,5.5,5.0
6,0.4702113431567911,513,4.495793121892011,0.4702113431567911,-11.477315757425721,1.0899938204610975,True,3.0,4.25,4.5,6.0
7,-0.5927558569685869,606,-4.232708231246873,-0.5927558569685869,-7.320358411488758,0.8790056666394768,True,3.5,1.5,8.5,3.0
8,0.2375916559420251,533,3.1360966790292766,0.2375916559420251,-11.172162122022467,1.0423802744627202,True,1.5,5.0,12.0,8.5
9,-1.0415956555485848,627,-9.47817035733155,-1.0415956555485848,-11.682107361109374,0.8117142918320561,True,2.5,1.75,9.5,5.5
10,0.2671752567274985,377,1.307167406520593,0.2671752567274985,-4.464799990640344,1.0641201571625631,True,5.0,2.75,6.5,2.0
11,1.4689595241363003,471,10.22813396894997,1.4689595241363003,-3.817176585162052,1.3467267140968846,True,4.5,4.0,3.0,10.0
12,0.39810024305374864,419,2.1998643188062106,0.39810024305374864,-4.296840078430408,1.0898160854276808,True,4.75,2.75,4.5,7.5
13,1.100540844095233,504,8.049964760152317,1.100540844095233,-5.247891492715951,1.2424068414553895,True,4.25,3.75,3.0,4.0
14,1.3182844571645893,501,9.804406274438016,1.3182844571645893,-4.859333133097266,1.2952379579469053,True,4.25,4.0,3.0,4.5
15,1.126918949219109,387,8.122910538946005,1.126918949219109,-4.086476990856635,1.269812965132194,True,4.25,4.5,5.0,7.0
16,0.5377560259428215,467,3.8413018099475726,0.5377560259428215,-8.475162839492478,1.1050647409115288,True,4.0,3.5,6.0,10.0
17,0.0234430114608242,341,0.051507929911376316,0.0234430114608242,-4.204912064602373,1.0022506524874202,True,5.0,3.25,8.0,5.0
18,0.554227087994331,371,4.338801916561397,0.554227087994331,-9.154780558523512,1.1247722040400843,True,3.25,4.5,12.0,8.5
19,0.17300105897396822,402,1.06192188352503,0.17300105897396822,-4.509364909687141,1.0373205399512053,True,4.5,4.0,4.0,2.0
20,1.137598866729299,555,9.581252913963656,1.137598866729299,-8.904313296032097,1.2302386475596037,True,4.0,4.5,3.0,6.5
21,1.137598866729299,555,9.581252913963656,1.137598866729299,-8.904313296032097,1.2302386475596037,True,4.0,4.5,3.0,6.5
22,-0.10731518022668333,420,-0.9098658107584146,-0.10731518022668333,-6.224058437143121,0.9716734182720208,True,4.5,3.75,4.0,4.5
23,0.768250566782829,426,5.7412979273583575,0.768250566782829,-8.650754666445671,1.1667360963139881,True,4.0,4.75,5.5,3.0
24,0.6598976729129445,531,5.70036115163326,0.6598976729129445,-10.448702722891767,1.1269136380178049,True,3.5,4.25,3.5,8.0
25,1.3152425156675034,453,8.525534760436049,1.3152425156675034,-4.1358582432856394,1.3176129524075282,True,4.75,3.75,3.0,6.0
26,0.377349058287304,444,2.189364986997022,0.377349058287304,-5.0761772924026065,1.0825104858318377,True,4.75,3.0,4.0,5.5
27,0.43207821234402577,375,2.598084464314465,0.43207821234402577,-4.399888554746056,1.1005456768677089,True,5.0,3.75,5.0,6.0
28,1.2002799785812,295,6.9503032146449595,1.2002799785812,-3.0519567256812485,1.369550494339528,True,4.75,3.5,10.5,9.5
29,0.25975137692684047,345,1.618431084704386,0.25975137692684047,-3.9153816180214296,1.0585627666800783,True,4.25,4.0,6.5,7.5
30,1.6125837905566056,435,12.21875606959042,1.6125837905566056,-4.0055162461076765,1.4071502529725555,True,4.5,5.0,3.5,4.5
31,1.6125837905566056,435,12.21875606959042,1.6125837905566056,-4.0055162461076765,1.4071502529725555,True,4.5,5.0,3.5,4.5
32,1.6125837905566056,435,12.21875606959042,1.6125837905566056,-4.0055162461076765,1.4071502529725555,True,4.5,5.0,3.5,4.5
33,0.7087509158191019,402,4.912968544119267,0.7087509158191019,-4.32007912929635,1.1615179228369663,True,4.5,5.0,4.0,3.5
34,1.0126763110307786,525,9.163408194553767,1.0126763110307786,-9.657820224908987,1.2094297539671932,True,3.75,5.0,3.5,4.5
35,1.3838062466142018,363,9.369484920398508,1.3838062466142018,-3.4649836821015523,1.375642602442237,True,4.5,4.75,5.0,3.0
36,1.068657172403667,531,9.936075437347537,1.068657172403667,-9.825848136827286,1.2212181733453538,True,3.5,4.75,3.5,5.0
37,1.515871589808817,348,9.839405222241847,1.515871589808817,-2.8888719404636776,1.4363124670797462,True,5.0,5.0,4.5,4.0
38,1.557936064245081,327,9.841990351046515,1.557936064245081,-2.6379763213629226,1.458980740065449,True,5.0,5.0,5.5,4.0
39,0.6153198652814424,489,5.9615089998785065,0.6153198652814424,-10.690715734799806,1.1209921291420422,True,2.75,4.75,5.5,3.5
40,1.1694053962001714,284,6.42387868064227,1.1694053962001714,-2.8979122089959786,1.337092863639035,True,4.75,5.0,7.5,2.5
41,1.515871589808817,348,9.839405222241847,1.515871589808817,-2.8888719404636776,1.4363124670797462,True,5.0,5.0,4.5,4.0
42,1.2181647636361925,348,8.000731005709948,1.2181647636361925,-3.022804865746198,1.3468092508394547,True,5.0,4.75,4.5,4.0
43,0.9915092232784479,387,7.115670892004511,0.9915092232784479,-3.659362589546633,1.2507407802304291,True,4.75,5.0,4.0,5.5
44,-0.18306573254534106,636,-3.679512270719809,-0.18306573254534106,-13.901359729224716,0.9572013137512952,True,1.5,4.25,6.0,4.5
45,1.690560810425759,342,11.806200427619906,1.690560810425759,-2.671633940329987,1.545623389191308,True,5.0,4.75,5.0,5.0
46,-0.08911564697042751,576,-1.8227753441258043,-0.08911564697042751,-12.060099036385829,0.9744256456989007,True,2.0,4.75,5.5,5.0
47,1.16499941721323,324,7.2009611309908905,1.16499941721323,-3.4622741180255656,1.3062737914600395,True,4.25,4.5,7.0,3.5
48,1.6026195082169663,420,11.334311705608746,1.6026195082169663,-3.7788394200188757,1.414368083759285,True,4.75,4.75,3.5,5.5
49,1.2133707787244288,420,8.229048547714024,1.2133707787244288,-4.097459816939808,1.3008435947805308,True,4.75,4.25,3.5,5.5
50,0.8263906979159801,303,5.362350720676523,0.8263906979159801,-3.3309672831145165,1.228825562557627,True,4.25,4.5,9.0,4.5
