fees_bps,slippage_bps,total_return_pct,sharpe,max_drawdown_pct,profit_factor,trades,scenario,break_even_fees_bps,edge_buffer_bps
5.0,2.0,9.972082998420273,1.8268715758135932,-3.1324323522953113,1.4852909261626173,459,Base,29.0,24.0
10.0,5.0,7.648114361694236,1.3929590792185358,-3.3249701142603727,1.3611737405334863,459,Stress1,29.0,24.0
