entry_time,exit_time,direction,entry_price,exit_price,size,notional,quantity,gross_pnl,costs,net_pnl,exit_reason,tp_multiple,pnl
2025-08-07 10:00:00+00:00,2025-08-07 19:00:00+00:00,1,116333.2,117265.02533832351,0.5,2080.7404423612265,0.017886041494270137,16.666666666666668,2.9130366193057173,13.75363004736095,tp1,2.0,13.75363004736095
2025-08-07 10:00:00+00:00,2025-08-08 10:00:00+00:00,1,116333.2,116333.2,0.3,1248.4442654167358,0.01073162489656208,0.0,1.74782197158343,-1.74782197158343,stop,6.0,-1.74782197158343
2025-08-07 10:00:00+00:00,2025-08-08 10:00:00+00:00,1,116333.2,116333.2,0.2,832.2961769444906,0.007154416597708054,0.0,1.165214647722287,-1.165214647722287,stop,10.0,-1.165214647722287
2025-08-12 03:00:00+00:00,2025-08-13 13:00:00+00:00,-1,118868.0,120731.8770853163,0.5,1594.3647912253302,0.013412901632275551,-25.000000000000004,2.2321107077154623,-27.232110707715467,stop,2.0,-27.232110707715467
2025-08-12 03:00:00+00:00,2025-08-13 13:00:00+00:00,-1,118868.0,120731.8770853163,0.3,956.6188747351981,0.008047740979365331,-15.000000000000004,1.3392664246292774,-16.33926642462928,stop,6.0,-16.33926642462928
2025-08-12 03:00:00+00:00,2025-08-13 13:00:00+00:00,-1,118868.0,120731.8770853163,0.2,637.7459164901321,0.005365160652910221,-10.000000000000002,0.8928442830861849,-10.892844283086188,stop,10.0,-10.892844283086188
2025-08-13 13:00:00+00:00,2025-08-13 21:00:00+00:00,1,121760.7,123008.67660734507,0.5,1626.108204317385,0.013354951181435265,16.666666666666664,2.276551486044339,14.390115180622326,tp1,2.0,14.390115180622326
2025-08-13 13:00:00+00:00,2025-08-14 06:00:00+00:00,1,121760.7,121760.7,0.3,975.6649225904309,0.008012970708861158,0.0,1.3659308916266033,-1.3659308916266033,stop,6.0,-1.3659308916266033
2025-08-13 13:00:00+00:00,2025-08-14 06:00:00+00:00,1,121760.7,121760.7,0.2,650.443281726954,0.005341980472574106,0.0,0.9106205944177356,-0.9106205944177356,stop,10.0,-0.9106205944177356
2025-08-14 12:00:00+00:00,2025-08-15 15:00:00+00:00,-1,118852.4,117059.6963971373,0.5,1104.9642172694712,0.009296944927233033,16.666666666666668,1.5469499041772596,15.119716762489409,tp1,2.0,15.119716762489409
2025-08-14 12:00:00+00:00,2025-08-19 16:00:00+00:00,-1,118852.4,113474.28919141191,0.3,662.9785303616827,0.00557816695633982,30.00000000000008,0.9281699425063558,29.071830057493727,tp2,6.0,29.071830057493727
2025-08-14 12:00:00+00:00,2025-08-22 15:00:00+00:00,-1,118852.4,117059.6963971373,0.2,441.9856869077885,0.003718777970893213,6.666666666666666,0.6187799616709039,6.047886704995762,stop,10.0,6.047886704995762
