iteration,sharpe,return,max_dd,actual_sharpe,p_value
1,-0.10061249934866567,-1.1700773165104317,-0.0988981588010468,1.45486982328898,0.01
2,-1.0819422746945793,-10.754869148385914,-0.14218384096418524,1.45486982328898,0.01
3,0.31374742482165974,2.8535355464793355,-0.08863640322689725,1.45486982328898,0.01
4,-1.0223276860918027,-9.234201737243097,-0.12707907131852947,1.45486982328898,0.01
5,-0.44475908415744375,-4.676510350221708,-0.1402430352062718,1.45486982328898,0.01
6,0.8349814659016433,7.707007544663913,-0.05293490113197685,1.45486982328898,0.01
7,0.12746672637924764,0.9800879863870238,-0.0981036767316662,1.45486982328898,0.01
8,-0.5822036922791147,-5.919409281372079,-0.09818252998222188,1.45486982328898,0.01
9,-1.6053082090708326,-14.643232486494995,-0.1626386731281807,1.45486982328898,0.01
10,-0.7358274114165441,-8.18061366123598,-0.1219554002385902,1.45486982328898,0.01
11,0.17781396601245178,1.5683921150205338,-0.1430647945775012,1.45486982328898,0.01
12,1.2980344520494913,11.487375494743347,-0.05460386616114721,1.45486982328898,0.01
13,-0.2208996260233716,-2.2372358405470916,-0.083534753390752,1.45486982328898,0.01
14,-0.3868575079183382,-3.585994864627806,-0.08404271867965696,1.45486982328898,0.01
15,-0.12889781733346087,-1.6705869318840771,-0.09132360412776841,1.45486982328898,0.01
16,-1.5857073550953276,-13.905907520013095,-0.1822893124351883,1.45486982328898,0.01
17,0.09925848454725432,0.7395354378164853,-0.07874754772898485,1.45486982328898,0.01
18,-0.7689008967364582,-7.250994776580988,-0.10722222529973924,1.45486982328898,0.01
19,-0.49701285353526814,-4.889312692244497,-0.11138834015084265,1.45486982328898,0.01
20,-0.39478462181429697,-3.3637208070937286,-0.09300590369860218,1.45486982328898,0.01
21,0.7065015221862333,5.941094076579145,-0.06479167071850667,1.45486982328898,0.01
22,0.31643223724393266,2.7247781783452885,-0.06273271348482956,1.45486982328898,0.01
23,0.6063333428116022,4.6867514610262395,-0.08805295105963729,1.45486982328898,0.01
24,0.020297799140581593,-0.04921837844984456,-0.07818551844280652,1.45486982328898,0.01
25,-0.5893081870529089,-5.783910327828313,-0.12237046942013963,1.45486982328898,0.01
26,-0.27321536175600386,-2.887691022020389,-0.1711196903750809,1.45486982328898,0.01
27,-1.0170935962001824,-8.24879482877221,-0.10630875114962035,1.45486982328898,0.01
28,0.5546851370294519,5.372642960900209,-0.060805185406319295,1.45486982328898,0.01
29,-0.04916704612273176,-0.6552793817237612,-0.06192853811569321,1.45486982328898,0.01
30,-0.7264425657040244,-7.5226851653118825,-0.16976919701313598,1.45486982328898,0.01
31,-0.7506113773060744,-7.2284323066928335,-0.09717059456991528,1.45486982328898,0.01
32,-0.6360205473233999,-7.034664545566227,-0.14621615533989474,1.45486982328898,0.01
33,1.194244888413542,10.8492165651207,-0.06279189025175569,1.45486982328898,0.01
34,0.3401671586211253,3.388672402631232,-0.11564994611219348,1.45486982328898,0.01
35,-0.03010848512911861,-0.5181715436615719,-0.12026289840682414,1.45486982328898,0.01
36,0.8763886358691407,8.120761870038251,-0.056226376736412065,1.45486982328898,0.01
37,-0.9325643884097622,-8.631828907094407,-0.12650859414433502,1.45486982328898,0.01
38,-0.8709228413148935,-7.534598147265736,-0.11138666808091258,1.45486982328898,0.01
39,0.4181222136095195,3.5601463356437213,-0.057486983045285656,1.45486982328898,0.01
40,-1.7875588886721305,-16.904385324602867,-0.19849917506975412,1.45486982328898,0.01
41,-0.36314638538691507,-3.6595522796290414,-0.10600423482888122,1.45486982328898,0.01
42,-0.31760598829484693,-3.07266920756909,-0.11268544677673065,1.45486982328898,0.01
43,-1.4048975428108537,-15.8437065955511,-0.17374909843763187,1.45486982328898,0.01
44,-0.2733678773869339,-3.31167187439656,-0.09456624423940518,1.45486982328898,0.01
45,-0.5633866275322591,-5.471598292495072,-0.10964735742277043,1.45486982328898,0.01
46,-0.15187473163077497,-1.7288890920400313,-0.08247006929168021,1.45486982328898,0.01
47,-0.6471961717309228,-6.215918771496232,-0.10731495679199654,1.45486982328898,0.01
48,-0.5683848501603028,-6.39193461726536,-0.0960100545704855,1.45486982328898,0.01
49,0.917716020786547,9.046681920400124,-0.06914378398985921,1.45486982328898,0.01
50,-0.11947981253917239,-1.4799715041709183,-0.09546635601544973,1.45486982328898,0.01
51,0.11124075839944067,0.9301520019820764,-0.13530755477791778,1.45486982328898,0.01
52,0.25670399627946855,1.844658033444735,-0.06485414251822341,1.45486982328898,0.01
