asset,cluster,individual_sharpe,cluster_avg_sharpe,param_distance
ILV,cluster_0,2.197014015608728,1.8451884936417986,3.0618621784789726
CHZ,cluster_0,1.8279988999353296,1.8451884936417986,4.534589286804263
ROSE,cluster_0,1.5105525653813383,1.8451884936417986,6.637959023675877
GALA,cluster_1,2.4517744750558115,3.061935862593562,7.7176745202165655
ONE,cluster_1,3.672097250131312,3.061935862593562,6.754628043053148
