regime,sharpe,return_pct,win_rate,profit_factor,trade_count,bar_count,avg_win,avg_loss,max_win,max_loss
CRASH,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0
HIGH_VOL,13.932747669817994,6.4912045481167135,0.3888888888888889,1.5848405233513385,18,937,24.040408139018645,-9.652984838286091,35.292261710629965,-26.177392650927743
BEAR,11.723555649237806,3.856172831086413,0.0,0.0,3,846,0.0,-17.271415717739277,0.0,-25.907123576608914
BULL,12.653412713872504,8.845818447365517,0.2857142857142857,0.9370764322223848,21,1347,24.888608679218237,-10.623939658877998,35.498463110013695,-26.229635820629404
SIDEWAYS,-1.7165968425060678,-7.839711571199515,0.440625,1.5611933470226083,320,12897,24.607639069381207,-12.415932360814505,35.44454358306866,-27.8369892943065
RECOVERY,14.281362716903844,0.7268195348640871,0.0,0.0,3,78,0.0,-17.15316777109037,0.0,-25.729751656635557
OTHER,5.8766209766012825,3.5248695529865426,0.5294117647058824,2.179584064913883,51,1209,25.51678399294785,-13.170578026409155,35.44944847741679,-27.06535607618786
