asset,base_sharpe,guard001_p_value,guard001_pass,guard002_variance_pct,guard002_pass,guard003_sharpe_ci_lower,guard003_pass,guard005_top10_pct,guard005_pass,guard006_stress1_sharpe,guard006_pass,guard007_mismatch_pct,guard007_pass,guard_wfe,guard_wfe_pass,all_pass,error
CAKE,3.659418296020576,0.0,True,3.1856060320096984,True,5.204476634354948,True,10.14047728368636,True,3.2640952022838796,True,0.0,True,0.9176782601082936,True,True,
KSM,2.5732608003302717,0.0,True,5.478895111672817,True,3.1653032694505465,True,13.450206025594325,True,2.2831820154633924,True,1.112299600465028e-14,True,0.5738121529272042,False,False,
JOE,2.535118234211602,0.0,True,5.352228781313105,True,2.4896944059332062,True,16.32813249302348,True,2.2773951845079634,True,0.0,True,1.4370028286725762,True,True,
