asset,return,sharpe,maxdd,trades,wfe,mc_p,status
ETH,20.405504707870016,2.8979557675622054,-2.611269480018552,450,2.4568020507222292,0.0,PASS
SOL,9.009511975641749,2.6095755253759174,-1.0093578166495032,300,0.7008262853394817,0.0,PASS
XRP,27.885365862887102,3.4390190712332562,-1.6737910591204996,483,0.8039177780262654,0.0,PASS
AAVE,41.20612985616978,2.8637302506795677,-3.0553284592443553,651,0.43641685158536225,0.0,FAIL (OVERFIT)
