asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
GALA,SUCCESS,binance,1H,2024-01-24,2026-01-23,17520,42,,1.5,5.0,5.5,10.0,5,20,9,15,52,2.175873483306141,21.98891767802269,366,1.6259349574612092,5.083929454252711,123,2.4517744750558115,8.204093488029018,111,-3.102392000994336,1.635747674896136,1.1268001075735576,0.004,
SAND,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,WFE<0.6; OVERFIT,1.75,3.75,5.0,6.5,11,24,15,21,52,2.5497015513669092,18.848226880260643,336,-2.214956309208151,-5.4609353603746635,135,1.433538530892838,3.5066090050350995,108,-3.6956781265326533,1.2844944245593115,0.5622377764661554,0.064,
MANA,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.5,3.25,4.5,9.5,9,23,10,24,52,2.1510248301803214,16.923588437129645,360,-0.8831567850309738,-2.408504278705459,141,0.2862574435639372,0.6678724279630455,123,-3.6928786940520597,1.044179194266619,0.13307956261013504,0.218,
ENJ,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,WFE<0.6; OVERFIT,2.25,4.5,8.5,9.5,15,35,16,24,52,3.0915906892608755,21.056283548828358,297,-2.935085500803094,-6.946745040568403,120,1.2638116479254726,3.1558810437517293,120,-4.102987081702459,1.237737245749152,0.40879009382306664,0.042,
FLOKI,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.25,4.0,7.5,17,30,9,27,52,3.521108792678679,17.602441843948036,279,-0.7027463941663503,-1.3452643437782408,114,-1.0799986890619941,-1.9332225585489193,96,-4.717173448611378,0.8042406002768028,-0.30672119285481847,0.476,
PEPE,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,1.75,3.5,4.5,5,20,14,27,52,2.4445181433917442,7.400627493478651,348,0.9352814060673403,0.8977425181626142,96,-0.7342798697616559,-0.7973421155467619,87,-2.0309445848545327,0.82861106838736,-0.3003781631756883,0.39,
WIF,FAIL,binance,1H,2024-03-05,2026-01-23,16542,42,WFE<0.6; OVERFIT,3.25,3.25,7.0,9.0,15,27,9,30,52,5.826601301796272,21.548283398697098,198,1.248291580314094,1.761159424538139,97,1.528029139017081,2.184601914299611,78,-1.7785513683323706,1.3840079171796928,0.2622505058902877,0.03,
RONIN,FAIL,binance,1H,2024-02-05,2026-01-23,17239,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,4.75,8.0,10.0,6,33,13,30,52,3.1954459228217913,26.517270779188973,288,0.16665281695582781,0.37220458146427493,117,-1.014629574357592,-2.342434315763453,81,-5.421292859336169,0.7922034609669032,-0.31752362545431734,0.12,
PIXEL,FAIL,binance,1H,2024-02-19,2026-01-23,16906,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,1.75,4.0,7.0,12,33,9,28,52,2.96906059768077,11.367851812998042,297,-1.0788513406349896,-1.6803677135477701,123,-1.183528632543642,-1.6138934179029119,87,-4.192772521066946,0.7467432499516431,-0.39862057159363296,0.294,
ILV,SUCCESS,binance,1H,2024-01-24,2026-01-23,17520,42,,2.0,2.75,8.5,10.0,12,39,11,24,52,3.3999540004477637,22.739972560218867,330,2.3414099647306155,5.144872623371843,105,2.197014015608728,4.454237270385675,82,-1.5919836423813116,1.6866876524298238,0.6461893353025917,0.012,
