mode,status,oos_sharpe,wfe,oos_trades,sensitivity,guard002_pass,all_pass,scan_file,guards_file,error
baseline,SUCCESS,2.12,0.51,108,5.68,True,False,outputs\rescue_AVAX_baseline_20260125_183858_multiasset_scan_20260125_184707.csv,outputs\rescue_AVAX_baseline_20260125_183858_guards_summary_20260125_184707.csv,
moderate,SUCCESS,2.0,0.66,81,2.77,True,True,outputs\rescue_AVAX_moderate_20260125_190050_multiasset_scan_20260125_191107.csv,outputs\rescue_AVAX_moderate_20260125_190050_guards_summary_20260125_191107.csv,
