asset,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement
STRK,2.0,3.25,7.0,8.5,20,30,11,20,52
METIS,1.5,4.75,7.5,9.5,16,20,8,17,52
AEVO,4.5,2.75,5.5,9.0,7,23,8,28,52
