iteration,sharpe,return,max_dd,actual_sharpe,p_value
1,-0.4101729430492187,-3.30889717109496,-0.08309282195526224,2.5732608003302717,0.0
2,-0.08161501073908885,-1.1928078935826814,-0.08887727774057841,2.5732608003302717,0.0
3,-0.8675418163301433,-7.263622002331848,-0.1165132968098247,2.5732608003302717,0.0
4,0.09579419248303479,0.7251853391540442,-0.09062525674471256,2.5732608003302717,0.0
5,-1.168683380821618,-9.44733153022691,-0.13645310683183343,2.5732608003302717,0.0
6,-0.20395705233165598,-1.8644593066473814,-0.0653548331996664,2.5732608003302717,0.0
7,-0.9292157625629579,-7.748526073584127,-0.11741738410684777,2.5732608003302717,0.0
8,-1.406474177321874,-11.82311116928566,-0.1314198107091662,2.5732608003302717,0.0
9,0.39851389558322375,6.306538832406594,-0.0796307805561679,2.5732608003302717,0.0
10,-0.023670823893946525,-0.3424954189023999,-0.06821529844259155,2.5732608003302717,0.0
11,0.33543395332398696,4.279053113339892,-0.06511809419358239,2.5732608003302717,0.0
12,-1.3035569432246872,-12.167463213419182,-0.18831627000440643,2.5732608003302717,0.0
13,-1.2792742450613257,-8.761483948313476,-0.10456662778927572,2.5732608003302717,0.0
14,-0.7334347073264735,-6.999664793836313,-0.1177560890814795,2.5732608003302717,0.0
15,-1.0184172157318547,-8.842831930011707,-0.12866089593024677,2.5732608003302717,0.0
16,-0.01820948032069876,-0.545751242678072,-0.1123271293316932,2.5732608003302717,0.0
17,-0.9690109378692757,-9.00620186254104,-0.12022394310083107,2.5732608003302717,0.0
18,-1.247063240141472,-10.12932791438368,-0.14121894998994322,2.5732608003302717,0.0
19,-2.2939430042582662,-20.021448043651425,-0.2187589611838976,2.5732608003302717,0.0
20,0.6984648581926043,8.207042449902136,-0.0568751100543442,2.5732608003302717,0.0
21,-0.7768864217476878,-6.1410189629596434,-0.08578998848830144,2.5732608003302717,0.0
22,-0.48984235171594603,-4.124950817920747,-0.08243797680950415,2.5732608003302717,0.0
23,-0.5734582609312873,-4.417724660818623,-0.06877712196227381,2.5732608003302717,0.0
24,0.5000792191227089,4.287752964214642,-0.07682432461250566,2.5732608003302717,0.0
25,-1.4473938228643768,-12.936410739531379,-0.14561454148034292,2.5732608003302717,0.0
26,-0.4577770700941614,-4.022663752575239,-0.08795562800980483,2.5732608003302717,0.0
27,-0.7456994254199495,-10.870830388392005,-0.11716399581814574,2.5732608003302717,0.0
28,-0.3301654349610578,-3.006771905349992,-0.08418347054737063,2.5732608003302717,0.0
29,-1.1583859738107252,-10.523355443653237,-0.11796881577188456,2.5732608003302717,0.0
30,0.3935035744473457,3.798334313029672,-0.07761216336025056,2.5732608003302717,0.0
31,-1.996834021412124,-15.834958310338699,-0.1628374670988696,2.5732608003302717,0.0
32,-0.9510771629458886,-8.068133855425641,-0.11120835971033027,2.5732608003302717,0.0
33,-1.454935115842162,-12.710495084518136,-0.1518607950940456,2.5732608003302717,0.0
34,-1.5006564142877117,-11.346690791385628,-0.15630531064971986,2.5732608003302717,0.0
35,-0.3840921197170705,-4.671035272518642,-0.1101475763343539,2.5732608003302717,0.0
36,-1.5863531639150337,-12.924819364206574,-0.14450009904597427,2.5732608003302717,0.0
37,-1.893944662009819,-15.895885045598702,-0.2078172836256752,2.5732608003302717,0.0
38,-1.4716634045956378,-12.150733267611436,-0.12547105093450017,2.5732608003302717,0.0
39,0.6151680076461192,6.914917189960179,-0.061104853414006066,2.5732608003302717,0.0
40,-1.6567849741906608,-13.235081484700517,-0.15651100619568314,2.5732608003302717,0.0
41,0.03992437901324008,0.11603472533203707,-0.10761627862199585,2.5732608003302717,0.0
42,-0.39087009480475093,-4.0914024113197005,-0.12033739685968092,2.5732608003302717,0.0
43,-0.2122222365608257,-1.9719232637673278,-0.07857052067792403,2.5732608003302717,0.0
44,-1.8835468556980661,-16.311403803113244,-0.1846380713541973,2.5732608003302717,0.0
45,0.7351146008984867,8.608046126402847,-0.11205358842462643,2.5732608003302717,0.0
46,-1.012981342916063,-9.23535669496548,-0.11490896242377546,2.5732608003302717,0.0
47,-1.826256931093142,-14.626559371693526,-0.17669820173676898,2.5732608003302717,0.0
48,0.1476844013758625,1.599445631099905,-0.08293001344263773,2.5732608003302717,0.0
49,-1.6772312747640499,-14.154405018135241,-0.15304369062047218,2.5732608003302717,0.0
50,-0.42093672607557714,-3.4746514457221878,-0.08623850491292351,2.5732608003302717,0.0
51,-1.0274900848049509,-8.675291067262169,-0.12671759123598614,2.5732608003302717,0.0
52,-0.3923541770530298,-3.625954242831453,-0.05189545995926503,2.5732608003302717,0.0
53,-0.737168018605241,-5.84941218068492,-0.13392067577478917,2.5732608003302717,0.0
54,-1.0502148610023028,-8.880484918408914,-0.11956094713433008,2.5732608003302717,0.0
55,-0.46466483947175563,-3.9744059949213484,-0.09852918297757374,2.5732608003302717,0.0
56,-0.9422415596488395,-8.249933169605994,-0.12451539782567833,2.5732608003302717,0.0
57,0.041294395618555295,0.16754766656277287,-0.06431697939799785,2.5732608003302717,0.0
58,-1.0866716932930056,-10.156230304998948,-0.12651854557104192,2.5732608003302717,0.0
59,-0.22876372380128637,-1.683729810679646,-0.05989159120397125,2.5732608003302717,0.0
