asset,base_sharpe,guard001_p_value,guard001_pass,guard002_variance_pct,guard002_pass,guard003_sharpe_ci_lower,guard003_pass,guard005_top10_pct,guard005_pass,guard006_stress1_sharpe,guard006_pass,guard007_mismatch_pct,guard007_pass,guard_wfe,guard_wfe_pass,overfit_psr,overfit_dsr,overfit_sr_star,all_pass,error
METIS,2.604559010682463,0.0,True,4.391251322741444,True,2.4127309782859423,True,22.4929132767066,True,2.182648302242637,True,1.1455075714275163e-14,True,0.4760100530663107,False,0.999968572936086,,,False,
OP,3.0632292610910365,0.0,True,6.919820729873481,True,3.795686665251123,True,10.54896453293998,True,2.6976969694241824,True,1.7330325477051375e-14,True,0.0074994387523012,False,0.9997960512314047,,,False,
OSMO,1.7654327317791276,0.0,True,4.618674128049553,True,1.2790982747041295,True,21.051054134616713,True,1.4026829017193305,True,1.1816995190942176e-14,True,0.1895746133183612,False,0.9893993713887181,,,False,
MINA,2.199286412551988,0.0,True,7.603692754287536,True,2.0434103089523648,True,20.244772233223294,True,1.8919503153585326,True,0.0,True,1.128919147316868,True,0.9980367458029644,,,True,
AR,3.5058013437810938,0.0,True,9.030060076196554,True,4.701426374021388,True,15.367209117684347,True,3.235440647016229,True,0.0,True,0.3892996209011625,False,0.9999963983787362,,,False,
YGG,2.7989847266175825,0.0,True,4.171462442827608,True,3.2075360617746553,True,16.017448602106153,True,2.5338973860243628,True,1.3847447985731066e-14,True,0.7817264125648942,True,0.999887506585774,,,True,
