tenkan,kijun,tenkan_5,kijun_5,sharpe,return,max_dd,trades,mean_sharpe,std_sharpe,variance_pct
7,25,6,28,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,6,29,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,6,30,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,6,31,2.2687236796810346,17.237048902046006,-3.144554915285347,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,6,32,2.3502925736850058,17.75256350540184,-3.1308605069101825,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,7,28,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,7,29,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,7,30,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,7,31,2.2687236796810346,17.237048902046006,-3.144554915285347,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,7,32,2.3502925736850058,17.75256350540184,-3.1308605069101825,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,8,28,2.4507799494244322,18.472575615470067,-3.1119321446775428,348,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,8,29,2.4507799494244322,18.472575615470067,-3.1119321446775428,348,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,8,30,2.4507799494244322,18.472575615470067,-3.1119321446775428,348,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,8,31,2.2769678946360146,17.067425974927765,-3.149087102177872,348,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,8,32,2.3600416167552374,17.58294057828358,-3.1353532765807546,345,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,9,28,2.2772448282644944,17.512592604183652,-3.2287866969588075,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,9,29,2.2772448282644944,17.512592604183652,-3.2287866969588075,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,9,30,2.2772448282644944,17.512592604183652,-3.2287866969588075,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,9,31,2.1056677721651136,16.107442963641326,-3.2676166947543273,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,9,32,2.1854071034212197,16.622957566997165,-3.2532629383340117,354,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,10,28,2.420858000446801,18.408247685767275,-3.1136139427754395,351,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,10,29,2.420858000446801,18.408247685767275,-3.1136139427754395,351,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,10,30,2.420858000446801,18.408247685767275,-3.1136139427754395,351,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,10,31,2.2485294072599706,17.003098045224952,-3.150809310835989,351,2.3166462539068124,0.12399220756281229,5.352228781313105
7,25,10,32,2.330462771255099,17.51861264858079,-3.1370604921014067,348,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,6,28,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,6,29,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,6,30,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,6,31,2.2687236796810346,17.237048902046006,-3.144554915285347,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,6,32,2.3502925736850058,17.75256350540184,-3.1308605069101825,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,7,28,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,7,29,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,7,30,2.4408350723080616,18.64219854258833,-3.1075061990317288,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,7,31,2.2687236796810346,17.237048902046006,-3.144554915285347,360,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,7,32,2.3502925736850058,17.75256350540184,-3.1308605069101825,357,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,8,28,2.4507799494244322,18.472575615470067,-3.1119321446775428,348,2.3166462539068124,0.12399220756281229,5.352228781313105
7,26,8,29,2.4507799494244322,18.472575615470067,-3.1119321446775428,348,2.3166462539068124,0.12399220756281229,5.352228781313105
