trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,sl_mult,tp1_mult,tp2_mult,tp3_mult
0,0.976778347454181,426,9.891776650348083,0.976778347454181,-9.773837551175212,1.2192342407470527,True,2.75,5.0,9.5,7.0
1,0.530578379430534,615,4.6223807887392,0.530578379430534,-6.217578647311495,1.0920637607861108,True,2.0,2.0,3.5,9.0
2,2.4910681064692497,489,19.16301951523851,2.4910681064692497,-2.372741617510077,1.625897079877978,True,3.75,4.0,3.0,10.0
3,0.4603648182240452,468,2.507107077184312,0.4603648182240452,-3.6840954693214245,1.104064310863288,True,4.5,2.25,4.5,3.5
4,1.284394574156113,534,12.43457343219012,1.284394574156113,-4.164428163193612,1.261594211168467,True,2.5,3.25,7.0,4.0
5,1.073799644178193,510,6.637845502625561,1.073799644178193,-2.8795296257058123,1.2542346289412356,True,3.75,2.0,5.5,5.0
6,1.0328633599956056,471,9.961934759560819,1.0328633599956056,-4.9880359433044035,1.2317662860896377,True,3.0,4.25,4.5,6.0
7,1.5682416697803643,522,9.1282896717088,1.5682416697803643,-1.820347997479288,1.4201911207861901,True,3.5,1.5,8.5,3.0
8,0.19592263972809057,513,2.42397578124387,0.19592263972809057,-12.705784677528143,1.0341769229295934,True,1.5,5.0,12.0,8.5
9,1.4334831436405173,567,11.587995574764198,1.4334831436405173,-3.2413093094991297,1.3198301603961393,True,2.5,1.75,9.5,5.5
10,1.6658963572196395,414,9.577028120429066,1.6658963572196395,-1.5420568648835342,1.44406901230293,True,5.0,3.5,3.0,10.0
11,1.6658963572196395,414,9.577028120429066,1.6658963572196395,-1.5420568648835342,1.44406901230293,True,5.0,3.5,3.0,10.0
12,1.2641820844914318,378,7.78316473803824,1.2641820844914318,-3.390545956679536,1.3046112179298277,True,4.25,3.5,6.0,10.0
13,0.6455322244840744,423,3.4862935124469585,0.6455322244840744,-2.979920967900007,1.154047612567491,True,5.0,2.75,3.0,7.5
14,1.301889103878248,417,9.819618335340152,1.301889103878248,-3.020938038410592,1.3106647189679286,True,4.0,4.25,4.5,8.0
15,1.2188568784342433,363,7.848406157477483,1.2188568784342433,-3.267895217586292,1.2966264747911287,True,4.5,4.25,6.5,9.5
16,1.2641298473404041,504,9.955811806008686,1.2641298473404041,-4.358133390789187,1.269665882286761,True,3.25,3.0,5.0,7.0
17,1.1407847911486306,342,6.8376287246577405,1.1407847911486306,-3.793324651883856,1.2985333916388166,True,4.75,3.75,8.0,9.0
18,1.079324445033457,315,7.1209043906669045,1.079324445033457,-2.7437071941010416,1.307985444414381,True,4.0,4.0,12.0,10.0
19,1.136192292852624,501,8.060149610707423,1.136192292852624,-2.14025560142721,1.2438486851373494,True,3.5,2.75,4.0,8.0
20,2.6092802792733587,447,18.834431705133838,2.6092802792733587,-1.9677965087266935,1.7311131463174338,True,4.5,4.75,3.0,4.5
21,2.2308284399666256,447,14.073320594022732,2.2308284399666256,-2.241863785672815,1.564487697963872,True,4.5,4.75,3.0,2.0
22,1.6607278009237738,420,10.980427783770065,1.6607278009237738,-2.916797174981911,1.4009411931782019,True,4.25,4.75,4.0,2.0
23,0.898403232863875,366,5.534804036980634,0.898403232863875,-3.292815346850031,1.2194939124824336,True,4.5,4.5,5.5,2.0
24,1.6164767185827853,438,12.405973228483624,1.6164767185827853,-2.9075998456470797,1.3994442868791135,True,4.0,4.5,3.5,4.5
25,3.1036876797154314,489,26.003019515238513,3.1036876797154314,-2.314174349514886,1.8493032097397661,True,3.75,4.75,3.0,6.0
26,1.0038354081139331,480,8.559470680030113,1.0038354081139331,-3.1234705060263934,1.2190540284515545,True,3.5,4.0,4.0,6.0
27,1.1668925243516195,417,9.810850286180006,1.1668925243516195,-4.065721480996309,1.2812788403578603,True,3.75,4.75,5.0,6.5
28,1.4912722274912795,378,11.914081994960846,1.4912722274912795,-3.1346808500639978,1.3890215966166255,True,3.25,4.0,10.5,5.0
29,1.1080187098803171,441,11.045131537003572,1.1080187098803171,-4.236441466373931,1.2502495985454403,True,3.0,5.0,6.5,7.0
30,1.629259054105248,456,12.151109620382883,1.629259054105248,-2.517561938416335,1.375081556872792,True,3.75,4.5,3.5,3.0
31,2.729090470515853,456,20.350456148158578,2.729090470515853,-1.878222877182012,1.7578137892278876,True,4.25,4.75,3.0,4.0
32,1.7026154290471418,420,12.554404409893705,1.7026154290471418,-2.7903384054017155,1.4338559916720088,True,4.25,4.75,3.5,4.5
33,1.2694161806470203,390,8.21888000324611,1.2694161806470203,-4.308469930173054,1.3081624732739634,True,4.75,5.0,4.0,3.5
34,2.8363720849844376,474,21.91427820039007,2.8363720849844376,-1.7875511418942613,1.770133579837717,True,4.0,4.5,3.0,5.5
35,1.188590408508494,387,8.75374580603523,1.188590408508494,-3.2777185283441646,1.306851819167486,True,4.25,4.5,5.0,5.5
36,3.1326901999864885,474,25.245528200390055,3.1326901999864885,-1.7579281103201394,1.8872037139473001,True,4.0,5.0,3.0,4.0
37,2.017728729501222,438,15.621123063227271,2.017728729501222,-2.722136146761045,1.502834502928215,True,4.0,5.0,4.0,4.0
38,0.7407741090292962,453,6.456643380916405,0.7407741090292962,-3.968234561543016,1.1650157634005673,True,3.5,4.25,4.5,5.5
39,2.206419644110835,507,22.38878645670146,2.206419644110835,-2.8860386548759775,1.528165245228158,True,3.0,5.0,3.5,6.5
40,0.877610751871128,534,9.195366135424177,0.877610751871128,-7.077798414406811,1.1707473572421747,True,2.5,4.5,5.5,3.0
41,2.313658367835319,429,15.845756853505,2.313658367835319,-1.9835182694512565,1.6416386234216653,True,4.75,4.75,3.0,4.5
42,1.747419752831589,438,13.274723228483666,1.747419752831589,-2.716774996213811,1.4274160725532512,True,4.0,4.75,3.5,4.0
43,2.813015740709791,447,20.892765038467154,2.813015740709791,-1.8721444946204202,1.8110133303560727,True,4.5,5.0,3.0,5.0
44,1.8775111233112016,432,16.873064214228606,1.8775111233112016,-2.455252340047931,1.5076045269125318,True,3.75,5.0,4.5,5.0
45,2.405035262984889,456,17.132809089335034,2.405035262984889,-2.0178942076412243,1.637994494156919,True,4.25,4.25,3.0,5.5
46,1.6227753153301143,342,12.096060358451254,1.6227753153301143,-2.349561888392848,1.4306808356665675,True,4.0,5.0,9.0,6.0
47,0.7662945921597705,636,10.606833028747364,0.7662945921597705,-7.397872193327359,1.1505299886995777,True,1.75,3.75,3.5,3.5
48,1.1785197842866888,390,7.929406319035559,1.1785197842866888,-4.471210221838772,1.2961332332152136,True,4.75,4.5,4.0,5.0
49,2.6499862354415753,504,23.817518422330043,2.6499862354415753,-1.8568124345011872,1.6828108325818507,True,3.5,5.0,3.0,3.5
50,1.0465027103307134,405,6.575889395004175,1.0465027103307134,-3.6611544707902843,1.2473630159684372,True,4.25,3.75,5.0,2.5
51,2.5508104885140455,504,23.071089850901473,2.5508104885140455,-1.88253059166692,1.6614118981806005,True,3.5,4.75,3.0,4.0
52,1.9230627425299984,501,17.610443181634807,1.9230627425299984,-2.3702165987578905,1.443856595911786,True,3.25,5.0,3.5,3.5
53,2.760080344910632,492,21.449968257083096,2.760080344910632,-2.3428418954102748,1.7005927476568927,True,3.75,4.75,3.0,3.0
54,0.7582098061139432,324,5.054248863998301,0.7582098061139432,-3.1843620853107213,1.193380432387888,True,3.75,4.25,11.0,3.0
55,1.6201291058518426,474,9.91606577276476,1.6201291058518426,-2.347850345008329,1.3857874476638699,True,4.0,2.5,4.5,6.5
56,1.7379852689866586,360,11.173980819740525,1.7379852689866586,-2.042839650729611,1.4578363057110617,True,4.25,4.5,7.5,2.5
57,2.618302460248294,600,33.12237510712524,2.618302460248294,-2.591798604498763,1.6040390579662611,True,2.25,4.75,3.0,6.0
