asset,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,wfe
ETH,4.25,2.25,6.0,10.0,13,20,13,19,52,1.809855207358039
EGLD,5.0,1.75,3.0,5.5,6,33,8,19,52,0.684151747283895
TON,5.0,2.25,9.5,10.0,5,26,9,28,52,0.7364845348002521
HBAR,1.5,2.75,5.5,10.0,9,22,11,15,52,0.8459050719092964
SUSHI,3.75,3.25,7.0,8.0,10,38,10,29,52,0.7503819764106555
CRV,2.0,2.25,6.5,9.0,20,34,16,23,52,12.37563630884219
MINA,3.5,5.0,7.5,9.0,6,35,8,15,52,0.9431119353251316
YGG,4.25,2.75,7.5,8.5,7,23,8,17,52,0.8895801211326086
CAKE,2.25,3.75,8.5,10.0,17,40,8,22,52,0.9001306736769047
