regime,trades,net_pnl,return_pct,pct_of_total_pnl,avg_pnl_per_trade,pnl_mismatch_pct
CRASH,6,68.14320151982206,0.6814320151982206,7.39775563640888,11.357200253303676,1.2342059453956556e-14
HIGH_VOL,6,68.16658919663799,0.6816658919663798,7.400294647111763,11.361098199439665,1.2342059453956556e-14
BEAR,33,-67.66425503927243,-0.6766425503927244,-7.345760295024846,-2.0504319708870433,1.2342059453956556e-14
BULL,60,161.97686321730302,1.6197686321730302,17.584516519745147,2.69961438695505,1.2342059453956556e-14
SIDEWAYS,33,146.68048468475556,1.4668048468475554,15.92391255659146,4.44486317226532,1.2342059453956556e-14
RECOVERY,87,-70.31559716777171,-0.7031559716777172,-7.633595042111807,-0.8082252548019737,1.2342059453956556e-14
OTHER,183,614.1461609336594,6.141461609336594,66.67287597727942,3.3559899504571553,1.2342059453956556e-14
