tenkan,kijun,tenkan_5,kijun_5,sharpe,return,max_dd,trades,mean_sharpe,std_sharpe,variance_pct
13,18,9,20,2.438464150401619,36.77460410547751,-3.796263698747515,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,9,21,2.438464150401619,36.77460410547751,-3.796263698747515,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,9,22,2.438464150401619,36.77460410547751,-3.796263698747515,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,9,23,2.281892718612009,34.121024790928665,-3.87109755834828,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,9,24,2.2365078051062035,33.24195007968229,-3.896543292892485,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,10,20,2.4825091585102643,37.656877263849964,-3.772106769963579,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,10,21,2.4825091585102643,37.656877263849964,-3.772106769963579,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,10,22,2.4825091585102643,37.656877263849964,-3.772106769963579,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,10,23,2.2820980056040243,34.124223238054775,-3.87109755834828,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,10,24,2.2820980056040243,34.124223238054775,-3.87109755834828,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,11,20,2.4825091585102643,37.656877263849964,-3.772106769963579,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,11,21,2.4825091585102643,37.656877263849964,-3.772106769963579,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,11,22,2.520207463489284,38.191472115156785,-3.7575658817465163,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,11,23,2.3199835671265876,34.658818089361596,-3.855785016706159,513,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,11,24,2.3199835671265876,34.658818089361596,-3.855785016706159,513,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,12,20,2.4515769866094534,37.138878474852135,-3.772106769963579,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,12,21,2.4515769866094534,37.138878474852135,-3.772106769963579,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,12,22,2.4892629866707314,37.67347332615898,-3.7575658817465163,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,12,23,2.288367949638763,34.140819300363766,-3.855785016706159,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,12,24,2.288367949638763,34.140819300363766,-3.855785016706159,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,13,20,2.407518910596136,36.26043711679958,-3.7962461828543126,525,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,13,21,2.4515769866094534,37.138878474852135,-3.772106769963579,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,13,22,2.4453246833982565,36.79503196810643,-3.7815189550423067,522,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,13,23,2.242886725845254,33.26237794231122,-3.88101087951358,519,2.438961040093509,0.10710090893425468,4.391251322741444
13,18,13,24,2.288367949638763,34.140819300363766,-3.855785016706159,516,2.438961040093509,0.10710090893425468,4.391251322741444
13,19,9,20,2.4384108098317943,36.77381420407342,-3.796285544334177,522,2.438961040093509,0.10710090893425468,4.391251322741444
